,Date,Open,High,Low,Close,Volume,Market Cap
0,2020-12-25,1.60278092,2.91809409,1.37526184,2.32854357,638225549.0386056,60477506.41343931
1,2020-12-26,2.31894647,2.43491633,1.58226415,1.59689608,237653072.77157778,41474977.71831736
2,2020-12-27,1.59774392,1.6307807,1.05665729,1.06211159,183978307.07411376,27585423.40367739
3,2020-12-28,1.06445382,1.25444715,1.04905068,1.11007626,119337529.3539569,80107730.73905212
4,2020-12-29,1.11045961,1.11128181,0.76115085,0.88779809,137916898.54616314,64067211.5589473
5,2020-12-30,0.88751237,1.24728756,0.87425137,1.09034067,182382242.95543706,78683528.12427823
6,2020-12-31,1.08889689,1.38593992,1.06316733,1.36798943,180428611.2245716,98719820.36764473
7,2021-01-01,1.36671795,1.3896246,1.09537493,1.15537694,85719566.54796366,83376816.78257279
8,2021-01-02,1.15420936,1.15785471,1.00473447,1.02852617,57325197.21335391,74222736.41419135
9,2021-01-03,1.02787299,1.13475316,0.95432093,1.0942887,78903253.7082545,78968434.40300702
10,2021-01-04,1.10094528,1.22034727,0.98947475,1.03127237,74099781.84402242,74420913.32739444
11,2021-01-05,1.03044831,1.30056922,0.99562309,1.25270657,89986367.8918444,90400528.32651891
12,2021-01-06,1.25322475,1.51720667,1.19768935,1.513447,125911564.32839167,109216645.21612504
13,2021-01-07,1.51115354,1.5808451,1.26110643,1.30557047,117149006.28818548,94215407.78274468
14,2021-01-08,1.30017591,1.34026788,1.06558364,1.1945766,98153437.70287211,86205627.61724241
15,2021-01-09,1.19173013,1.29895112,1.12328687,1.24719031,70724249.70477982,90002452.6427536
16,2021-01-10,1.24671131,1.38412512,1.12192079,1.20985542,89053578.54674785,87308210.68728498
17,2021-01-11,1.20897795,1.20897795,0.97583335,1.12711186,81363662.19770229,81337090.83512247
18,2021-01-12,1.12585218,1.20205473,1.06329146,1.12275788,54302082.97415123,81022889.47498378
19,2021-01-13,1.12311973,1.30391284,1.07814638,1.2723027,65603618.93998466,91814667.38133398
20,2021-01-14,1.27322812,1.39578921,1.27078436,1.33481705,65837974.26106197,96325963.32424608
21,2021-01-15,1.3357836,1.49998224,1.19658129,1.34963868,117648381.12990437,97395553.82750344
22,2021-01-16,1.34878622,1.80944846,1.34137571,1.64629343,180632495.77529365,118803397.32637192
23,2021-01-17,1.64408772,2.15618225,1.59789408,2.0292268,264378889.7093905,146437465.90502355
24,2021-01-18,2.03220335,2.06631006,1.75349583,1.8777014,155228582.49812025,135502761.44062987
25,2021-01-19,1.87875957,2.09056694,1.81586054,1.91572695,138354205.75485504,138246843.35717508
26,2021-01-20,1.91080552,1.96066187,1.65201934,1.85568768,115774841.36522245,133914159.57960153
27,2021-01-21,1.85511542,1.8766143,1.55770813,1.56664112,106919772.52828898,113055354.7442188
