,Date,Open,High,Low,Close,Volume,Market Cap
0,2017-10-01,0.0216779001,0.0322258994,0.0173540991,0.0249694996,50068700.0,0.0
1,2017-10-02,0.0246070009,0.0300877001,0.0199692994,0.0259317998,57641300.0,628899051.78
2,2017-10-03,0.0257565994,0.0274251997,0.0206898991,0.0208158009,16997800.0,539692714.905
3,2017-10-04,0.0208640993,0.0228062999,0.0208640993,0.0219314992,9000050.0,568619547.504
4,2017-10-05,0.0219512992,0.0221535992,0.0208592992,0.0214887001,5562510.0,557139040.67
5,2017-10-06,0.0213588998,0.0215418991,0.0183597002,0.0185391009,7780710.0,480664553.411
6,2017-10-07,0.0184138995,0.0210503004,0.0176199991,0.0209408998,7411240.0,542936191.429
7,2017-10-08,0.0209293999,0.0235977005,0.0201474,0.0204771999,7727460.0,530913808.821
8,2017-10-09,0.0203443002,0.0228071995,0.0203419998,0.0221136995,4663310.0,573343459.756
9,2017-10-10,0.0221120995,0.0224460997,0.0212792996,0.0215313006,2725600.0,558243533.875
10,2017-10-11,0.0214799996,0.0225757007,0.0209764,0.0225195009,3606720.0,583864664.98
11,2017-10-12,0.0225384999,0.0267632008,0.0218250994,0.0262521002,8680640.0,680640048.471
12,2017-10-13,0.0260608997,0.0338159986,0.0251953993,0.0336409993,15613600.0,872212579.969
13,2017-10-14,0.0338762999,0.0382677987,0.0292553008,0.0324648991,27853200.0,841719752.309
14,2017-10-15,0.0328736007,0.0336412005,0.0286944006,0.0300485995,7104990.0,779072171.768
15,2017-10-16,0.0299389008,0.0307491999,0.0285767,0.0289482009,6196030.0,750542023.348
16,2017-10-17,0.0289526992,0.0296279993,0.0254814997,0.0272174999,7039900.0,705670042.368
17,2017-10-18,0.0272192992,0.0273598004,0.0246373005,0.0266906992,2336180.0,692011661.609
18,2017-10-19,0.0267044995,0.0271116998,0.0257715993,0.0270319004,2897720.0,700857978.076
19,2017-10-20,0.0269824006,0.0308551993,0.0266121998,0.0306298006,8716410.0,794140985.165
