,Date,Open,High,Low,Close,Volume,Market Cap
0,2019-03-14,6.4397150386,6.6399432167,6.3539629021,6.5266417664,7318171.77459811,0.0
1,2019-03-15,6.6331738815,7.7152488717,6.432468205,7.5043512987,6057301.36630816,0.0
2,2019-03-16,7.5079900025,8.3056152861,6.694530522,7.3838820815,3477392.63637224,0.0
3,2019-03-17,7.3574430266,7.3574430266,4.7278952279,4.7761641482,2653565.21355002,0.0
4,2019-03-18,4.8282423693,5.2299815115,4.8282423693,5.1103410955,2567200.53305075,0.0
5,2019-03-19,5.0999775924,5.2061716519,4.7945009469,4.8218831156,3891084.29346652,0.0
6,2019-03-20,4.8176750727,4.8354147267,3.8711303313,4.3813946008,3934420.9108204,0.0
7,2019-03-21,4.4215201426,4.4215201426,3.5858710556,3.6329482048,3901346.45634146,0.0
8,2019-03-22,3.6311077024,3.6332775564,3.2855788061,3.4985464491,4680808.38339444,0.0
9,2019-03-23,3.5061963859,3.5338515939,3.337097416,3.4455163628,4409796.93224551,0.0
10,2019-03-24,3.4454520123,3.8814912628,3.4286495636,3.7652433045,3928802.85635917,0.0
11,2019-03-25,3.7491941191,3.9560226983,3.6642188835,3.7783408155,4661791.17254628,0.0
12,2019-03-26,3.761046214,3.8280253487,3.4825860083,3.7439028127,6463760.13879078,0.0
13,2019-03-27,3.7464669189,3.8281199235,3.596314829,3.7769211723,7031766.59357063,0.0
14,2019-03-28,3.7737300179,3.7875161916,3.4825931215,3.4923860348,6030319.85537053,0.0
15,2019-03-29,3.4895711432,3.552861661,3.4084526798,3.539836509,4012185.12006887,0.0
16,2019-03-30,3.540853954,3.5625109375,3.3794995997,3.4665854632,3370884.25799434,0.0
17,2019-03-31,3.4665854632,3.6283993173,3.4408759172,3.6243259137,3945618.41927641,0.0
18,2019-04-01,3.6100766604,3.8693073896,3.5951031382,3.7251829231,4158589.48120739,0.0
19,2019-04-02,3.7619430963,3.8345665989,3.6109530192,3.7871966238,5365042.90958105,0.0
20,2019-04-03,3.7871966238,3.9252773508,3.6637493478,3.7669518855,5083727.05683384,0.0
21,2019-04-04,3.7628976138,3.8318434963,3.7031853221,3.747295395,5321012.48084556,0.0
22,2019-04-05,3.7446518035,3.83987875,3.6735823538,3.808442826,5415803.07793351,0.0
23,2019-04-06,3.8092619115,4.4629758949,3.7700666491,4.4473553358,4623456.35428238,0.0
24,2019-04-07,4.4739756222,4.8867621177,4.3419274339,4.6163607782,4191618.52713497,0.0
25,2019-04-08,4.6345879009,5.8474386409,4.6156441235,5.450051946,4041529.7666582,0.0
26,2019-04-09,5.450051946,5.4715557182,3.8039191779,3.844098356,5205816.99967571,0.0
27,2019-04-10,3.8026242843,4.1839024037,3.6703272984,3.7497825444,4666417.08390784,0.0
28,2019-04-11,3.7701632636,3.8641951232,3.4835642115,3.509812507,5287619.35745881,0.0
29,2019-04-12,3.5175296385,4.334712317,3.4828124933,4.3065364448,4766004.35404905,0.0
30,2019-04-13,4.3044414777,4.4687872639,4.1689329056,4.3030366501,4074111.87362135,0.0
31,2019-04-14,4.3030366501,4.4880176629,4.1245989735,4.4626870468,4087544.86606794,0.0
32,2019-04-15,4.4626870468,4.488488476,4.2850230128,4.3496145258,4043797.75391525,0.0
33,2019-04-16,4.3438813042,4.4758582785,4.2737789158,4.418631072,6687900.33960742,0.0
34,2019-04-17,4.3601031569,4.4436529389,4.2862201362,4.3457877238,5040510.37616295,0.0
35,2019-04-18,4.3449385203,4.4242225621,4.2714438216,4.3624780964,3962743.12359146,0.0
36,2019-04-19,4.3641339817,4.8986679757,4.2961560518,4.8761167906,5806996.8764462,0.0
37,2019-04-20,4.8684960872,5.4395620862,4.8574365926,5.435583036,4130470.93441431,0.0
38,2019-04-21,5.4019887696,5.4766572719,4.6516678661,5.2158191759,4423092.45083866,0.0
39,2019-04-22,5.170827157,6.9481003799,4.2425416837,4.3834686769,14693545.4315445,0.0
40,2019-04-23,4.3834686769,5.3135925638,4.1144954048,4.1221308834,69288592.6172705,0.0
41,2019-04-24,4.1221308834,4.1460821398,3.0967800635,3.6366927387,51989409.8577459,0.0
42,2019-04-25,3.6861251189,3.778509634,3.2270886388,3.3044978283,38575975.2045973,0.0
