,Date,Open,High,Low,Close,Volume,Market Cap
0,2020-07-13,4.6139677044,4.9151149646,4.4814986656,4.8962944035,28339.9968219597,0.0
1,2020-07-14,4.9098648792,5.2295636579,4.7620678596,4.9867539093,3956.6401542227,0.0
2,2020-09-22,4.9867539093,11.4634431991,4.1253797552,5.2346319752,288098840.167973,128248483.39289
3,2020-09-23,5.32165397,5.32930962,3.98260404,4.11846862,173091214.36622873,100902481.23141676
4,2020-09-24,3.81792536,4.7518783,3.53988692,4.56656107,96110963.558701,111880746.31788824
5,2020-09-25,4.61402804,4.95867258,4.24079849,4.71227917,55854396.7835979,115450839.62972882
6,2020-09-26,4.71373648,4.81775221,4.37677358,4.53924857,27304545.98194968,111211589.9854727
7,2020-09-27,4.53528875,4.69547225,4.13801226,4.62553553,23243191.65922584,113325620.5743547
8,2020-09-28,4.63600884,4.64236705,4.20480313,4.20480313,20624309.65058083,103017676.79266354
9,2020-09-29,4.20590558,4.28064063,3.97066231,4.14295087,16706916.81340713,101502296.41373207
10,2020-09-30,4.14329318,4.39227781,4.01505614,4.32254623,16932875.58377851,105902382.5965933
11,2020-10-01,4.32427861,4.49329163,4.05929393,4.15109018,23903200.93087806,101701709.44411846
12,2020-10-02,4.14960395,4.20649217,3.69385177,3.92715641,30467406.06939681,96215332.06195498
13,2020-10-03,3.92574773,4.1661555,3.88023862,4.02165954,11967393.6589558,98530658.7075215
14,2020-10-04,4.02298282,4.06501609,3.85581733,3.96110965,12949575.32853165,97047186.38243811
15,2020-10-05,3.96058635,4.03636165,3.88612272,3.97801988,8980051.24793789,97461487.01487541
16,2020-10-06,3.98250364,3.98250364,3.51910221,3.53765781,15048997.78264713,86672616.27598791
17,2020-10-07,3.53880902,3.54297993,3.2302658,3.44681826,15674565.65046532,84447047.34615561
18,2020-10-08,3.44815649,3.92556412,3.34242517,3.90427907,15215458.14773162,95654837.16992466
19,2020-10-09,3.91157435,4.27915711,3.81881726,4.23530482,13043373.34096452,103764967.97635552
20,2020-10-10,4.24196307,4.25098879,4.01629356,4.0267045,14539710.74921426,98654260.13764963
21,2020-10-11,4.02243483,4.15848307,3.97083903,4.09587934,11454884.92982655,100349043.84364405
22,2020-10-12,4.09250328,4.68679947,4.05172178,4.41573976,14445437.21702719,108185624.13038261
23,2020-10-13,4.41315023,4.54139188,4.33464584,4.48805379,14050397.56382303,109957317.81960118
24,2020-10-14,4.48389387,4.48544775,4.02253581,4.15005578,10004481.34645246,101676366.58035868
25,2020-10-15,4.15292787,4.2135414,4.01629039,4.12735307,6998969.65680249,101120150.17385152
26,2020-10-16,4.12786557,4.15539265,3.8870107,4.04048023,9790610.43206577,98991765.5937469
27,2020-10-17,4.03854072,4.19600869,3.97669431,4.19600869,6113717.11173335,102802212.99977997
28,2020-10-18,4.19232299,4.24636654,4.08395151,4.11606159,3717530.72420707,100843508.9686541
