,Date,Open,High,Low,Close,Volume,Market Cap
0,2017-10-23,479.816986084,539.7199707031,479.816986084,500.1260070801,7652060.0,0.0
1,2017-10-24,498.4440002441,500.7550048828,141.0950012207,142.9170074463,23301700.0,0.0
2,2017-10-25,143.1519927979,165.8020019531,125.8339996338,137.0850067139,16040700.0,0.0
3,2017-10-26,137.0310058594,143.6390075684,121.047996521,136.2319946289,11556600.0,0.0
4,2017-10-27,137.2429962158,137.983001709,118.3300018311,120.6569976807,8217860.0,0.0
5,2017-10-28,120.5240020752,123.4339981079,106.1760025024,115.8190002441,5635800.0,0.0
6,2017-10-29,115.9179992676,139.2649993896,115.2109985352,139.1829986572,11295300.0,0.0
7,2017-10-30,138.6490020752,138.6490020752,126.4199981689,132.8029937744,6730380.0,0.0
8,2017-10-31,133.8430023193,164.5489959717,132.1609954834,156.7310028076,18906800.0,0.0
9,2017-11-01,157.0249938965,159.7630004883,140.5540008545,144.8800048828,14898100.0,0.0
10,2017-11-02,144.8959960938,147.0249938965,122.9670028687,127.5059967041,12020600.0,0.0
11,2017-11-03,126.3539962769,137.2899932861,123.5530014038,131.7649993896,8035790.0,0.0
12,2017-11-04,131.6040039063,144.4109954834,128.2799987793,142.171005249,9145650.0,0.0
13,2017-11-05,141.7929992676,175.9559936523,139.9949951172,165.7590026855,16915700.0,0.0
14,2017-11-06,165.4859924316,170.1889953613,148.1230010986,148.7680053711,10901900.0,0.0
15,2017-11-07,149.2480010986,159.2169952393,149.2480010986,153.3489990234,7219510.0,0.0
16,2017-11-08,153.1349945068,159.3399963379,135.2140045166,139.3899993896,12513700.0,0.0
17,2017-11-09,140.5140075684,156.6649932861,138.2310028076,156.6649932861,13140500.0,0.0
18,2017-11-10,157.4900054932,213.4029998779,155.391998291,213.4029998779,36198500.0,0.0
19,2017-11-11,213.1239929199,509.8110046387,213.1239929199,427.1350097656,187191008.0,0.0
20,2017-11-12,421.75,465.6180114746,281.5450134277,282.4070129395,90339904.0,0.0
21,2017-11-13,277.0029907227,307.2590026855,218.3390045166,249.220993042,45916500.0,0.0
22,2017-11-14,253.2149963379,253.2149963379,154.0520019531,159.9409942627,39340400.0,0.0
23,2017-11-15,160.5390014648,187.2779998779,151.466003418,161.6909942627,30094100.0,0.0
24,2017-11-16,161.8719940186,181.3300018311,136.3950042725,140.7769927979,27949200.0,0.0
25,2017-11-17,138.7510070801,165.9349975586,133.0480041504,152.0200042725,24935100.0,0.0
26,2017-11-18,153.0720062256,172.4499969482,151.7870025635,155.7270050049,24642900.0,0.0
27,2017-11-19,154.9149932861,155.5480041504,133.9620056152,135.6860046387,19503400.0,0.0
28,2017-11-20,135.1970062256,247.1020050049,105.7880020142,236.3730010986,93826896.0,0.0
29,2017-11-21,250.8509979248,364.782989502,201.8959960938,267.2080078125,370782016.0,0.0
30,2017-11-22,264.1820068359,275.0530090332,232.9160003662,241.7239990234,111451000.0,0.0
31,2017-11-23,241.970993042,299.8940124512,241.970993042,293.6130065918,154038000.0,0.0
32,2017-11-24,295.7529907227,413.7439880371,284.2590026855,394.2179870605,537472000.0,0.0
33,2017-11-25,394.0429992676,394.0429992676,339.1010131836,356.0369873047,208662000.0,5935701496.37
34,2017-11-26,355.7219848633,366.7860107422,334.7420043945,366.7860107422,141228000.0,6115587514.16
35,2017-11-27,370.1780090332,387.8810119629,353.6669921875,359.2449951172,129160000.0,5990540094.42
36,2017-11-28,359.3550109863,360.1199951172,325.5599975586,329.783996582,101004000.0,5499852647.97
37,2017-11-29,329.4039916992,360.7539978027,287.7340087891,295.4119873047,252312992.0,4927213257.67
38,2017-11-30,294.3290100098,323.5629882813,269.0270080566,304.6350097656,151331008.0,5081627428.97
39,2017-12-01,304.3370056152,315.7460021973,288.1359863281,311.6400146484,134598000.0,5199077993.77
40,2017-12-02,311.5090026855,315.0490112305,295.8810119629,299.0710144043,88196704.0,4989928183.65
41,2017-12-03,298.8399963379,347.7780151367,294.4440002441,320.6640014648,252844000.0,5350823516.34
42,2017-12-04,322.0119934082,339.8330078125,316.3359985352,328.3819885254,130453000.0,5480206648.43
43,2017-12-05,329.4700012207,329.4700012207,303.1780090332,304.6849975586,113206000.0,5085302668.4
44,2017-12-06,305.6570129395,305.9289855957,270.9100036621,279.8909912109,156602000.0,4671929681.16
45,2017-12-07,279.0289916992,279.7609863281,250.2279968262,251.6360015869,137884992.0,4200782719.89
46,2017-12-08,253.7070007324,278.2560119629,248.0809936523,261.1619873047,178502000.0,4360246125.12
47,2017-12-09,260.8429870605,263.0969848633,230.1040039063,243.1049957275,105017000.0,4059233239.23
48,2017-12-10,244.9750061035,245.9859924316,195.8710021973,228.8730010986,140891008.0,3821992817.75
49,2017-12-11,229.3260040283,288.683013916,229.1900024414,254.4479980469,265127008.0,4249567494.97
50,2017-12-12,254.3529968262,294.1889953613,251.8659973145,275.4450073242,205848992.0,4600757446.35
51,2017-12-13,276.1099853516,285.0570068359,254.1040039063,271.4509887695,221863008.0,4534534281.78
52,2017-12-14,271.4280090332,352.5459899902,270.4460144043,316.9540100098,467875008.0,5295250982.65
53,2017-12-15,316.8680114746,316.8680114746,277.8619995117,297.8399963379,175999008.0,4976455496.75
54,2017-12-16,297.0639953613,313.0050048828,292.1449890137,296.3959960938,136415008.0,4952899005.13
55,2017-12-17,297.6059875488,306.5849914551,294.5010070801,300.4849853516,120807000.0,5021761236.95
56,2017-12-18,299.9979858398,332.5549926758,281.6969909668,319.5310058594,313796992.0,5340636689.0
57,2017-12-19,319.808013916,367.3349914551,316.074005127,355.1799926758,413363008.0,5937166180.09
58,2017-12-20,354.3760070801,488.5700073242,348.5650024414,453.4549865723,983169024.0,7580780695.55
59,2017-12-21,449.7460021973,460.8670043945,369.1669921875,406.7730102539,352177984.0,6801142292.79
60,2017-12-22,416.4360046387,416.7529907227,259.875,305.7300109863,313312992.0,5112244655.49
61,2017-12-23,308.7560119629,354.8869934082,305.9949951172,334.5639953613,217778000.0,5595005305.03
62,2017-12-24,334.549987793,334.549987793,289.7749938965,305.2210083008,144898000.0,5104893284.32
63,2017-12-25,307.4859924316,311.9970092773,295.2720031738,309.3340148926,104619000.0,5174271914.95
64,2017-12-26,305.8330078125,316.2799987793,299.032989502,307.2890014648,110025000.0,5140621882.96
65,2017-12-27,307.5859985352,330.9719848633,300.933013916,317.8819885254,135076992.0,5318415743.54
66,2017-12-28,318.782989502,318.782989502,274.2860107422,284.341003418,134169000.0,4757802912.28
