,Date,Open,High,Low,Close,Volume,Market Cap
0,2016-02-10,0.9534119964,1.2406100035,0.7184320092,0.9731299877,127149.0,0.0
1,2016-02-11,0.9906280041,1.2760499716,0.8618890047,1.2070599794,44528.8984375,0.0
2,2016-02-12,1.2183699608,1.5308599472,1.1544300318,1.3119100332,41598.5,0.0
3,2016-02-13,1.3131999969,1.37906003,1.0291399956,1.1264100075,37094.3984375,0.0
4,2016-02-14,1.1295000315,1.2073700428,1.0762900114,1.1764800549,15138.0,0.0
5,2016-02-15,1.1774599552,1.449000001,1.1284999847,1.3571200371,45922.3984375,0.0
6,2016-02-16,1.3613400459,1.6563800573,1.2799500227,1.4972699881,59302.69921875,0.0
7,2016-02-17,1.4752899408,1.7136700153,1.4752399921,1.5705399513,41294.5,0.0
8,2016-02-18,1.5757399797,1.5837999582,1.2484799623,1.4240100384,31430.900390625,0.0
9,2016-02-19,1.4252500534,1.539139986,1.3561999798,1.445029974,17999.5,0.0
10,2016-02-20,1.4478399754,1.6310399771,1.4466199875,1.5519299507,23921.5,0.0
11,2016-02-21,1.5486899614,1.6816300154,1.4963699579,1.6416200399,27627.30078125,0.0
12,2016-02-22,1.6616699696,1.9231599569,1.5846699476,1.7362999916,61298.19921875,1627234.28529
13,2016-02-23,1.7383600473,2.2339000702,1.7111699581,1.9063199759,90550.3984375,1803321.01068
14,2016-02-24,1.9072999954,2.89406991,1.900069952,2.6707799435,133621.0,2551078.92824
15,2016-02-25,2.6743400097,2.8341100216,2.0649700165,2.3923399448,138725.0,2305373.12613
16,2016-02-26,2.4281001091,2.6530799866,2.1333699226,2.4276800156,48829.0,2358286.0762
17,2016-02-27,2.4314100742,2.4314100742,1.929469943,2.1662299633,46765.3984375,2121393.03388
18,2016-02-28,2.1665000916,2.3135900497,2.0747098923,2.2370100021,29046.599609375,2212076.30055
19,2016-02-29,2.2366700172,2.2926499844,1.9742000103,2.0614800453,39207.5,2055749.31075
20,2016-03-01,2.0625200272,2.1063399315,1.337460041,1.7233799696,69219.0,1733568.10369
21,2016-03-02,1.6979700327,1.8729200363,1.5686700344,1.6964800358,40583.19921875,1719713.65342
22,2016-03-03,1.6961599588,1.9206700325,1.6503000259,1.7388000488,37620.8984375,1779487.73568
23,2016-03-04,1.7240899801,1.857550025,1.7105499506,1.7370599508,17232.5,1791270.37125
24,2016-03-05,1.737079978,1.7750500441,1.6342500448,1.693950057,27322.900390625,1761998.53218
25,2016-03-06,1.7100100517,2.0503900051,1.6718599796,2.0322399139,37125.8984375,2131315.57817
26,2016-03-07,2.0440099239,2.1920900345,1.969990015,2.163310051,34233.8984375,2287431.09399
27,2016-03-08,2.1676399708,2.3445401192,2.1676399708,2.3266301155,29222.30078125,2480228.80161
28,2016-03-09,2.307970047,2.6023800373,2.2488100529,2.48052001,82286.296875,2664412.87794
29,2016-03-10,2.4798099995,2.6008400917,2.3172199726,2.3210000992,35049.80078125,2516351.35924
30,2016-03-11,2.3216099739,2.5824999809,2.1083700657,2.3967900276,51700.6015625,2616938.92006
31,2016-03-12,2.2948000431,2.5668799877,2.2552900314,2.2836799622,51006.3984375,2512695.89699
32,2016-03-13,2.2838099003,2.3908100128,2.20739007,2.383409977,22474.30078125,2641655.76405
33,2016-03-14,2.3841900826,2.5360300541,2.3448801041,2.4239699841,48534.1015625,2708082.94166
34,2016-03-15,2.4256100655,2.6404600143,2.3677101135,2.5875399113,41795.1015625,2915984.14743
35,2016-03-16,2.4205799103,2.6663200855,2.4205799103,2.6178898811,38185.8984375,2969382.40811
