,Date,Open,High,Low,Close,Volume,Market Cap
0,2020-08-20,2.7878572758,3.0777837128,2.6928957061,2.9000802145,48819867.3511282,0.0
1,2020-08-21,2.8969232856,3.0900926678,2.730918684,2.8750282692,49313136.825242,0.0
2,2020-08-22,2.8785700433,4.510613389,2.8167618534,4.4846901434,485801095.84575,0.0
3,2020-08-23,4.4870583649,4.4870583649,3.7162710539,3.9670656921,320749483.243806,0.0
4,2020-08-24,3.9874134923,4.78315824,3.8126695191,4.6026141518,407690170.881454,0.0
5,2020-08-25,4.5849532461,5.7607753502,4.5012227457,5.5233930074,898847538.456415,0.0
6,2020-08-26,5.5414058559,6.5546882614,5.1362052955,6.0817164688,1054351759.40317,0.0
7,2020-08-27,6.0757722377,6.7891799136,5.3139262726,5.628337353,1289248953.26494,0.0
8,2020-08-28,5.6394855723,6.3337460612,5.5409630011,6.1599547584,727162235.007699,0.0
9,2020-08-29,6.1759246504,6.5629058291,6.0423088269,6.159143225,527290028.288721,0.0
10,2020-08-30,6.153439932,6.2195064199,5.7499775264,5.8698808095,485335136.160243,0.0
11,2020-08-31,5.9059175882,6.4593767862,5.7729660481,6.3000202146,512604781.457396,0.0
12,2020-09-01,6.2988099046,6.8388983909,6.1723239478,6.2887665749,601527408.597063,0.0
13,2020-09-02,6.2826862129,6.4326524056,5.6574417851,6.1394652407,584155027.672257,5234800947.37602
14,2020-09-03,6.1311793043,6.3180793113,5.6825901534,5.7478677539,763663456.725131,4900906249.03192
15,2020-09-04,5.7266101784,5.9813948118,4.6267201601,5.1460378917,845787793.236023,4387757398.22662
16,2020-09-05,5.1360333806,5.31178363,3.6534678523,4.1223125969,805800384.883967,3514880375.0138
17,2020-09-06,4.1370319259,4.9016495889,3.7597453044,4.7994679399,924160481.88266,4092255324.15976
18,2020-09-07,4.7960477984,4.8200033752,4.0326333687,4.5946686447,675375182.71445,3917633675.14744
19,2020-09-08,4.5889584793,4.6164401635,4.1195953277,4.2743244542,519440288.07207,3644492936.27343
20,2020-09-09,4.2828680998,4.7967234075,4.1588727462,4.7089389523,534097093.858837,4015065990.6637
21,2020-09-10,4.7098494372,4.8701405123,4.4712948225,4.5815843241,633577673.91456,3906477359.16521
22,2020-09-11,4.5798478841,4.7481102202,4.3171298181,4.6455666285,633472139.867298,3961031724.18101
23,2020-09-12,4.6506020494,5.2801564443,4.5160189034,5.1370369324,753745736.547038,4380082750.89405
24,2020-09-13,5.1450412849,5.4788011842,4.8068256373,5.2979508921,1099475714.12633,4517285669.33471
25,2020-09-14,5.296419926,5.6027821619,5.1264245759,5.3487093049,1008259712.11711,4560564713.56071
26,2020-09-15,5.3666259709,5.4519167358,5.0957058996,5.0957058996,897864383.943973,4344841940.61479
27,2020-09-16,5.0689626072,5.2813226697,4.9862112268,5.0803221041,792360520.604375,4331724982.68753
28,2020-09-17,5.0803221041,5.4176710657,5.0617467649,5.3363011117,776350363.028767,4549984896.08848
29,2020-09-18,5.3417093126,5.4591393806,5.1085532987,5.2457635464,683398179.627801,4472788248.79357
30,2020-09-19,5.253237044,5.2556908277,4.824983281,4.9254106546,605268040.060128,4199640090.85282
31,2020-09-20,4.9289151385,4.9744662855,4.4249178443,4.6724490176,798507890.721618,3983952931.6032
32,2020-09-21,4.6724490176,4.7009026532,3.9504764162,4.0945974013,1096736656.95391,3491249077.07478
33,2020-09-22,4.0854018143,4.2085961913,3.9182250955,4.1744630449,673117343.731449,3559346334.81572
34,2020-09-23,4.16855388,4.31589082,3.97410084,4.03141516,557062766.1810193,3437376885.779542
35,2020-09-24,4.02136775,4.39995006,3.99318391,4.38197305,437573445.6525584,3736279268.4642587
36,2020-09-25,4.37626455,4.52789841,4.26206226,4.42095446,425191119.2614034,3769516670.958218
37,2020-09-26,4.42224712,4.46401668,4.2425426,4.34766168,329745176.1075388,3707023756.0355635
38,2020-09-27,4.34038273,4.36219225,4.16051801,4.31028125,316361927.4218383,3675151411.956258
39,2020-09-28,4.30243663,4.58297971,4.27012712,4.39786057,543507456.4594314,3749825720.83317
40,2020-09-29,4.42175762,4.60288724,4.35814665,4.50045212,508965929.3066325,3837300168.0152
41,2020-09-30,4.5029078,4.5029078,4.25363888,4.34978056,378446619.73810357,3708830409.386106
42,2020-10-01,4.35096756,4.58343031,4.25738199,4.34383142,445143707.8943495,3703757887.077122
43,2020-10-02,4.34450396,4.35854472,3.93316154,4.12317927,554916297.4338783,3515619342.004152
