,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-01-27,7.99524209,10.40240774,5.81507959,6.87036269,13585975.73297782,160086334.7820595
1,2021-01-28,6.57364674,7.89342235,5.98513989,7.11361685,6305733.72,165754400.37
2,2021-01-29,7.16896407,7.25508059,6.25709866,6.40157595,3050818.62,149163134.06
3,2021-01-30,6.28370077,9.06793769,6.25878751,9.0373144,6769881.03,210578480.93
4,2021-01-31,9.02310742,12.15641625,8.51201232,9.74785465,14218899.3,227134780.81
5,2021-02-01,9.7437983,12.07643743,9.61734333,9.82633413,11450508.54,228963431.13
6,2021-02-02,9.82811677,11.44898049,9.00358763,9.34934871,60980068.02,217849193.06
7,2021-02-03,9.35534572,9.61266652,8.76620163,8.77906216,8128178.17,204560944.88
8,2021-02-04,8.79222169,9.00474504,8.01191037,8.68829037,14893555.22,202445871.36
9,2021-02-05,8.66570718,10.93183385,8.62388632,10.71303341,12080517.49,249624412.94
10,2021-02-06,10.73656505,10.7931719,9.67231191,10.34509259,16451138.21,241051023.05
11,2021-02-07,10.36806606,10.44631452,9.95128181,10.08739862,8314734.63,235046495.35
12,2021-02-08,10.08897545,10.63342849,9.92689627,10.05664425,13189019.39,234329887.75
13,2021-02-09,10.03311349,11.37254633,10.02378249,11.36734207,7433500.92,264870460.37
14,2021-02-10,11.37532549,12.02411839,11.06637766,11.41670038,17490309.2,266020558.34
15,2021-02-11,11.41966516,12.61874749,11.39524705,12.61519252,5612898.94,293946626.13
16,2021-02-12,12.63660093,14.87081208,12.63306748,14.63301016,13954053.46,340963799.09
17,2021-02-13,14.62117086,15.07638162,13.87688069,14.77934667,6661174.64,344373586.24
18,2021-02-14,14.77898139,18.69555985,14.38158565,17.77185163,10945868.17,414101950.36
19,2021-02-15,17.85744286,20.06492681,16.23154763,19.14650154,58256176.31,446132670.63
20,2021-02-16,19.15093344,19.36740132,17.36448208,19.15498418,30352818.98,446330324.61
21,2021-02-17,19.15400851,19.53957044,16.82708917,17.19224091,24257215.99,400596439.84
22,2021-02-18,17.19393959,19.43732915,17.19393959,19.12227643,22907428.18,445568201.41
23,2021-02-19,19.12063094,19.15966044,17.70861013,18.62689809,21658614.7,434025389.57
24,2021-02-20,18.64025245,18.97110005,18.01854453,18.72914586,16706781.19,436407865.13
25,2021-02-21,18.74475716,26.21853652,18.55927284,21.87712733,76251137.27,509758987.71
26,2021-02-22,21.87694433,23.189334,18.27909373,22.62646558,54680573.76,527219319.62
27,2021-02-23,22.58401835,23.57348323,18.20578439,21.30986694,45629454.76,496541252.24
28,2021-02-24,21.3600506,23.05644486,19.94225139,20.96520682,23362271.78,488510326.16
29,2021-02-25,20.95915644,21.86686344,19.44143116,20.3311425,37511198.21,473735991.96
30,2021-02-26,20.31680971,20.62414164,18.33514994,19.8592689,43661711.92,462740864.38
