,Date,Open,High,Low,Close,Volume,Market Cap
0,2017-05-01,51.6441993713,77.7406005859,51.6441993713,74.8399963379,13582400.0,82667515.6
1,2017-05-02,77.9962997437,108.0469970703,75.1196975708,89.7883987427,24464700.0,99179368.756
2,2017-05-03,90.1184005737,93.9580001831,74.6580963135,78.4121017456,8826750.0,86613221.539
3,2017-05-04,78.6417999268,89.4319000244,78.3543014526,88.6791000366,6149800.0,97954047.069
4,2017-05-05,88.5775985718,90.6093978882,81.4010009766,86.7662963867,4400090.0,95841187.317
5,2017-05-06,86.6970977783,115.141998291,86.6970977783,114.7399978638,7706590.0,126740656.6
6,2017-05-07,114.9319992065,116.7269973755,103.8570022583,105.1029968262,3392570.0,116095722.77
7,2017-05-08,104.6119995117,124.6520004272,100.358001709,117.84400177,4710080.0,130169303.96
8,2017-05-09,117.81300354,123.5540008545,97.0628967285,99.8102035522,2728910.0,110249348.818
9,2017-05-10,99.8207015991,111.2050018311,99.3322982788,108.4729995728,1340590.0,119818191.07
10,2017-05-11,109.641998291,116.591003418,106.3629989624,109.5070037842,1502340.0,120960337.13
11,2017-05-12,109.9789962769,114.8830032349,105.8209991455,106.3489990234,966219.0,117472041.91
12,2017-05-13,106.1940002441,111.9850006104,101.7009963989,111.0419998169,596459.0,122655882.78
13,2017-05-14,111.6600036621,116.3939971924,110.0879974365,112.3489990234,686450.0,124099581.91
14,2017-05-15,111.8150024414,122.3870010376,109.1679992676,120.1340026855,2149280.0,132698815.06
15,2017-05-16,120.016998291,125.7460021973,119.3079986572,120.2210006714,1782330.0,132794914.39
16,2017-05-17,120.2689971924,124.2760009766,116.2900009155,121.5500030518,1145960.0,134262914.5
17,2017-05-18,121.858001709,137.2570037842,121.0979995728,136.7070007324,1741360.0,151005185.13
18,2017-05-19,136.9519958496,179.2189941406,135.0220031738,166.3979949951,5786480.0,183801566.82
19,2017-05-20,168.1179962158,180.546005249,156.8760070801,178.8419952393,2776440.0,197547084.78
20,2017-05-21,179.0890045166,217.1999969482,178.2270050049,215.9940032959,4641290.0,238584812.46
21,2017-05-22,211.8820037842,243.3329925537,196.800994873,223.0030059814,6796350.0,246326883.77
22,2017-05-23,221.2729949951,239.3829956055,203.2480010986,230.2899932861,3339550.0,254376031.1
23,2017-05-24,230.858001709,284.3640136719,229.0,264.3020019531,4987370.0,291945346.18
24,2017-05-25,264.4700012207,285.5889892578,220.4270019531,223.1959991455,3733870.0,246540069.64
25,2017-05-26,220.8639984131,254.9530029297,192.5410003662,203.6580047607,2538650.0,224958590.22
26,2017-05-27,204.341003418,215.279006958,137.2579956055,190.4689941406,2116920.0,210390152.71
27,2017-05-28,191.1860046387,221.6750030518,191.1860046387,209.283996582,1655050.0,231173013.56
28,2017-05-29,210.0520019531,226.9389953613,203.7440032959,224.7559967041,1427840.0,248263230.04
29,2017-05-30,223.8159942627,255.7259979248,223.8159942627,255.7259979248,2948800.0,282472382.34
30,2017-05-31,254.1900024414,260.8519897461,238.8000030518,258.4849853516,3223960.0,285519946.15
31,2017-06-01,258.9429931641,266.4070129395,239.9049987793,250.6660003662,2793310.0,276883156.94
32,2017-06-02,249.9219970703,254.4510040283,245.9129943848,253.3710021973,1704490.0,279871072.89
33,2017-06-03,253.1490020752,264.1159973145,250.7290039063,259.7709960938,1844740.0,286940448.89
34,2017-06-04,258.6809997559,266.325012207,257.4479980469,263.6570129395,1764410.0,291232885.63
35,2017-06-05,263.5350036621,271.1669921875,258.1889953613,259.3720092773,2900230.0,286499717.48
36,2017-06-06,260.200012207,270.6730041504,249.5879974365,267.4379882813,3759020.0,295409340.42
37,2017-06-07,265.8179931641,269.7510070801,244.404006958,250.050994873,1863430.0,276203834.09
38,2017-06-08,250.8840026855,261.858001709,246.1929931641,259.282989502,1108080.0,286401408.97
39,2017-06-09,258.8599853516,264.0140075684,257.0899963379,258.2300109863,1039800.0,285238275.7
40,2017-06-10,258.0660095215,264.9880065918,249.2709960938,259.3229980469,2586810.0,286445592.57
41,2017-06-11,259.2430114746,273.4309997559,254.4589996338,270.1719970703,1722230.0,298429289.48
42,2017-06-12,269.9869995117,276.8129882813,237.9329986572,262.8160095215,4611240.0,290303925.44
43,2017-06-13,267.6109924316,274.0620117188,259.2720031738,270.4159851074,3634110.0,298698809.44
44,2017-06-14,270.282989502,275.9349975586,233.8520050049,245.4470062256,1756630.0,271118301.73
45,2017-06-15,245.3020019531,248.8450012207,198.31300354,235.5200042725,1818040.0,260153036.8
46,2017-06-16,235.5639953613,251.6040039063,228.8070068359,243.4100036621,1706190.0,268868251.9
47,2017-06-17,243.3320007324,245.2420043945,238.4739990234,244.4510040283,960521.0,270018130.09
48,2017-06-18,244.5489959717,247.4409942627,238.06199646,240.4609985352,835268.0,265610815.99
49,2017-06-19,239.3639984131,245.966003418,237.93800354,241.93699646,2274500.0,267241190.83
50,2017-06-20,241.9019927979,243.9140014648,221.68699646,233.1600036621,2548470.0,257546204.4
51,2017-06-21,233.2539978027,234.9530029297,217.4869995117,222.0390014648,2174910.0,245262059.01
52,2017-06-22,222.6470031738,226.0500030518,212.1829986572,216.1920013428,1406290.0,238803521.28
53,2017-06-23,216.6929931641,234.279006958,214.9700012207,229.2429962158,941532.0,253219525.37
54,2017-06-24,229.158996582,231.5599975586,212.6239929199,216.8899993896,893780.0,239574525.1
55,2017-06-25,216.4570007324,217.5050048828,198.9459991455,203.8159942627,1987100.0,225133115.44
56,2017-06-26,205.3339996338,208.4880065918,172.7660064697,185.3589935303,2401130.0,204745697.81
57,2017-06-27,192.6889953613,200.6499938965,168.4299926758,200.4629974365,1059020.0,221429425.17
58,2017-06-28,202.4239959717,219.9129943848,191.1089935303,217.8699951172,1422660.0,240657023.3
59,2017-06-29,215.6479949951,282.9920043945,215.6479949951,257.9649963379,9273850.0,284945559.35
60,2017-06-30,257.5379943848,388.6220092773,252.8880004883,334.6719970703,39888300.0,369675344.48
61,2017-07-01,332.0429992676,341.5390014648,301.9349975586,302.0469970703,8108100.0,333638095.73
62,2017-07-02,301.6940002441,326.7009887695,278.2640075684,323.2770080566,6820020.0,357088541.43
63,2017-07-03,322.0889892578,358.0109863281,317.0769958496,331.6040039063,7327040.0,366286462.36
64,2017-07-04,330.3599853516,341.0390014648,316.0629882813,316.0629882813,3328510.0,349120029.17
65,2017-07-05,317.5079956055,346.7309875488,310.233001709,337.9339904785,7394890.0,373278517.06
66,2017-07-06,338.2680053711,343.5859985352,329.0480041504,333.9400024414,2805380.0,368866784.6
67,2017-07-07,334.6969909668,334.6969909668,289.1239929199,289.1239929199,2166830.0,319363479.16
68,2017-07-08,283.2290039063,305.8070068359,264.3330078125,298.9549865723,1584090.0,330222703.45
69,2017-07-09,297.3770141602,301.4769897461,276.7460021973,276.7460021973,960653.0,305690864.14
70,2017-07-10,277.1400146484,279.1929931641,218.016998291,229.3370056152,1872180.0,253323356.83
71,2017-07-11,226.5500030518,233.8739929199,196.0570068359,207.1940002441,1552960.0,228864420.46
72,2017-07-12,205.7350006104,220.4869995117,193.2230072021,220.4869995117,2068270.0,243547735.33
73,2017-07-13,220.8470001221,221.2369995117,202.1119995117,202.9170074463,1311570.0,224140089.03
74,2017-07-14,202.7400054932,204.8359985352,177.4320068359,181.6600036621,741389.0,200659819.4
75,2017-07-15,181.1959991455,181.6020050049,160.2890014648,163.7350006104,697468.0,180860043.65
76,2017-07-16,163.3020019531,168.516998291,143.2769927979,156.3350067139,1457260.0,172686077.65
77,2017-07-17,155.8990020752,183.4120025635,155.8990020752,182.9900054932,911380.0,202128924.1
78,2017-07-18,183.8029937744,205.5749969482,173.3099975586,200.3679962158,1469820.0,221324489.12
79,2017-07-19,200.0149993896,224.2729949951,189.3809967041,200.6569976807,3145230.0,221643715.63
80,2017-07-20,198.5379943848,231.1199951172,198.5379943848,223.5769958496,1515470.0,246960918.43
81,2017-07-21,225.966003418,234.5950012207,216.6260070801,220.4420013428,1004850.0,243498028.78
