,Date,Open,High,Low,Close,Volume,Market Cap
0,2018-10-06,1.02932,1.02932,0.989907,0.995377,280720.0,0.0
1,2018-10-07,0.997531,1.0058,0.990535,1.00104,75348.9,0.0
2,2018-10-08,0.999992,1.00596,0.993175,1.00044,83886.8,0.0
3,2018-10-09,1.00081,1.02154,0.991077,1.00066,71707.2,0.0
4,2018-10-10,0.99465,1.00878,0.992996,1.00054,50836.4,0.0
5,2018-10-11,0.999385,1.02825,0.990929,0.997064,158297.0,0.0
6,2018-10-12,1.00127,1.01331,0.985636,1.005,408806.0,0.0
7,2018-10-13,1.00506,1.01174,1.002,1.00807,30106.9,0.0
8,2018-10-14,1.0066,1.01948,1.00363,1.01404,29208.9,0.0
9,2018-10-15,1.01524,1.14524,0.959797,1.02844,512946.0,0.0
10,2018-10-16,1.02776,1.19113,1.01333,1.02053,2052790.0,0.0
11,2018-10-17,1.02283,1.0348,1.00876,1.01634,12545900.0,0.0
12,2018-10-18,1.02073,1.02571,1.00413,1.01332,4024270.0,0.0
13,2018-10-19,1.01377,1.09041,1.00774,1.00931,452735.0,0.0
14,2018-10-20,1.00969,1.01752,1.00592,1.01158,982545.0,0.0
15,2018-10-21,1.01113,1.03707,1.00744,1.01213,874604.0,0.0
16,2018-10-22,1.01122,1.03215,0.995165,1.00265,2035450.0,0.0
17,2018-10-23,1.00255,1.01624,1.00231,1.01178,3903410.0,0.0
18,2018-10-24,1.01188,1.01603,1.00602,1.00967,2477350.0,0.0
19,2018-10-25,1.00919,1.01563,1.00594,1.01263,1757160.0,0.0
20,2018-10-26,1.01116,1.01996,1.00741,1.01179,2432660.0,0.0
21,2018-10-27,1.01202,1.01854,1.00973,1.01247,1787840.0,0.0
22,2018-10-28,1.01333,1.02551,1.01023,1.01945,3149280.0,0.0
23,2018-10-29,1.01911,1.03362,0.986738,1.01117,5186730.0,0.0
24,2018-10-30,1.01083,1.01714,1.0005,1.00342,1779430.0,0.0
25,2018-10-31,1.0049,1.00752,0.994785,0.994785,5633990.0,0.0
26,2018-11-01,1.00035,1.06784,0.996152,1.00595,6389860.0,0.0
27,2018-11-02,1.00602,1.00648,0.997215,1.00245,7004320.0,0.0
28,2018-11-03,1.00258,1.00328,1.0007,1.00245,3754370.0,0.0
29,2018-11-04,1.00223,1.00797,0.981566,0.987659,2705160.0,0.0
30,2018-11-05,0.982718,1.0091,0.977706,0.999499,2248250.0,0.0
31,2018-11-06,1.00045,1.00722,0.997066,1.00497,4434370.0,0.0
32,2018-11-07,1.00325,1.0087,0.993234,1.00069,6176500.0,0.0
33,2018-11-08,0.999839,1.0065,0.99463,0.998869,11678800.0,0.0
34,2018-11-09,0.999345,1.00773,0.993451,1.004,2118810.0,0.0
35,2018-11-10,1.00326,1.01461,0.998226,1.00835,2336780.0,0.0
36,2018-11-11,1.00915,1.01773,0.996343,1.01298,3175490.0,0.0
37,2018-11-12,1.01368,1.02015,1.00096,1.00533,2707310.0,0.0
38,2018-11-13,1.00369,1.01224,1.00073,1.01134,2094580.0,0.0
39,2018-11-14,1.01066,1.18087,1.00107,1.01254,2902070.0,14524926.2649538
40,2018-11-15,1.01178,1.02893,0.995998,1.019,3293580.0,17452210.66736
41,2018-11-16,1.01826,1.02226,1.00308,1.00792,6484180.0,25162388.9869752
42,2018-11-17,1.00728,1.01304,1.00095,1.00724,7042920.0,25218522.5203444
43,2018-11-18,1.00937,1.01704,1.00219,1.01306,4037410.0,25465545.3316986
44,2018-11-19,1.00913,1.01384,0.986528,1.00715,7337050.0,23519750.1713415
45,2018-11-20,1.0084,1.02291,0.989062,1.00987,11847300.0,26155911.2292837
46,2018-11-21,1.01532,1.04027,0.983395,1.02237,13454200.0,28348263.7254294
47,2018-11-22,1.02094,1.02996,0.990627,0.999054,3557520.0,29618265.2101535
48,2018-11-23,1.00149,1.02407,0.987404,1.00439,7646740.0,30178213.9236218
49,2018-11-24,1.00644,1.02036,0.956261,0.993953,3701220.0,29426206.1007208
50,2018-11-25,0.99279,1.03132,0.970734,0.991338,10316700.0,28853325.0504229
51,2018-11-26,0.991811,1.01903,0.966072,0.997437,3950910.0,30116719.3641178
52,2018-11-27,0.983703,1.01984,0.970668,0.986979,10786300.0,31742205.4147076
53,2018-11-28,0.98915,1.05348,0.981848,0.993396,17610500.0,35359560.1528297
54,2018-11-29,1.0167011023,1.0427294173,0.9805393867,1.0239542003,15564131.4468032,42465190.6360514
55,2018-11-30,1.027412465,1.0300255611,0.9825835287,1.0147903565,16950657.674969,45439235.7538301
56,2018-12-01,1.017027565,1.0274953581,0.9978364388,1.0142516347,12009909.7099563,45415113.4252467
57,2018-12-02,1.0123592987,1.033722505,1.0032984333,1.0145167639,1387433.6239067,45426985.1106471
58,2018-12-03,1.0134253993,1.019779936,0.998594537,1.0013825589,1473200.35627462,49834294.2237943
59,2018-12-04,1.0028391086,1.0170273352,0.9995476541,1.0130287982,1466690.98589668,59930903.0452515
60,2018-12-05,1.0133584937,1.0139118045,0.9958905568,0.9996463607,1581109.18660782,61990895.5275424
61,2018-12-06,0.9971900312,1.007674709,0.9845828659,0.9848561314,1401546.6360797,61917340.5783202
62,2018-12-07,0.9840587308,1.0326227125,0.979179745,1.0263052859,1770460.00655415,84250698.0146457
63,2018-12-08,1.024574771,1.026427952,1.0123455305,1.0218540168,2217177.24560914,84773286.7521603
64,2018-12-09,1.0207598435,1.0319996736,1.0197017914,1.026132125,2290543.95751902,86716735.6286524
65,2018-12-10,1.0259480084,1.0292438266,1.0192177663,1.0240137146,1996139.1982194,89169642.1990649
66,2018-12-11,1.021226019,1.0290383945,1.0056865603,1.0088685113,1892201.56417599,86698698.1919907
67,2018-12-12,1.0097381358,1.0173237943,1.0079628706,1.0107026049,1725511.06828588,87702734.3390826
68,2018-12-13,1.0098778699,1.0107047604,0.996943726,1.0016079825,1532046.37461909,89115014.3387623
69,2018-12-14,1.0021442564,1.0065873765,0.974316127,0.9850374505,18150802.6033625,84542499.6017024
70,2018-12-15,0.9858040414,0.9951030472,0.9706888031,0.9849079883,18608028.9440465,85424375.9154089
71,2018-12-16,0.9847592149,1.0136281426,0.9838877019,0.9968016327,30732980.7507849,88089387.3279243
72,2018-12-17,0.9980753271,1.0961111602,0.9964545807,1.0791508284,29559287.4040483,93617854.8828796
73,2018-12-18,1.0793625954,1.1271770196,0.9957908883,1.1271770196,35859121.8663843,100892502.499783
74,2018-12-19,1.130653417,1.1525736732,1.0065394733,1.0188818186,38793127.2702698,98161526.6438679
75,2018-12-20,1.0164210561,1.1239018159,1.0060154328,1.0154216391,35741017.6914864,94712470.4681273
76,2018-12-21,1.0133703827,1.0239922027,0.9990607471,1.0060749984,38171374.1887626,89200154.3262679
77,2018-12-22,1.0049829406,1.018613246,1.0031088609,1.013225336,18879708.5388772,90980295.6605055
78,2018-12-23,1.0123995227,1.0237261612,1.001616257,1.0104617796,28709170.2184533,90170334.5869132
79,2018-12-24,1.0111978464,1.0399655202,0.9950820661,1.0045912641,35199800.6193923,90633797.789901
80,2018-12-25,1.0058031073,1.0218407032,0.992186272,1.0115068591,31831490.6981501,91439555.0778007
