,Date,Open,High,Low,Close,Volume,Market Cap
0,2019-09-17,0.416008755,0.416008755,0.0877526983,0.0901766553,10855377.8900629,0.0
1,2019-09-18,0.0905193629,0.1002723695,0.0800454296,0.0869211816,14772273.961009,0.0
2,2019-09-19,0.087702117,0.0877207652,0.0544685225,0.0579242844,27324783.5273011,0.0
3,2019-09-20,0.0580872617,0.0590611694,0.0477997139,0.052489562,15814443.2118273,0.0
4,2019-09-21,0.052401651,0.0554082373,0.0454558969,0.0480214462,13144171.4681796,0.0
5,2019-09-22,0.048064535,0.048237087,0.0387573935,0.0397353022,10549578.0554318,0.0
6,2019-09-23,0.039738839,0.0398032149,0.0354878541,0.0376449364,11214859.5693214,0.0
7,2019-09-24,0.0376886668,0.043996744,0.0290840015,0.0296411001,12197100.5113361,0.0
8,2019-09-25,0.0295149395,0.0311108721,0.0258711229,0.0302022038,8906428.05674312,0.0
9,2019-09-26,0.0302035078,0.0310224381,0.0273046044,0.0289663712,5190095.25817912,0.0
10,2019-09-27,0.0289663061,0.0372027543,0.0281007841,0.0369906759,11853815.8441183,0.0
11,2019-09-28,0.0372369678,0.0418037585,0.0372369678,0.0399279888,11250682.7209527,0.0
12,2019-09-29,0.0398125296,0.0414542173,0.0322229797,0.0357764845,13731230.7673302,0.0
13,2019-09-30,0.0357764845,0.0430359686,0.0351031574,0.0380206483,20942699.7324253,0.0
14,2019-10-01,0.0379600776,0.0397493123,0.0369665536,0.0384908741,7928612.45945261,0.0
15,2019-10-02,0.0384908741,0.0395368946,0.0359927052,0.0375779289,5630019.48899987,0.0
16,2019-10-03,0.0375779289,0.0391772312,0.0365038429,0.0376817258,5937607.48900945,0.0
17,2019-10-04,0.0376806987,0.0390188977,0.0367883936,0.0387634594,5625636.55664387,0.0
18,2019-10-05,0.0387634594,0.0426465945,0.0387634594,0.0418940525,11880917.884211,0.0
19,2019-10-06,0.0418437522,0.0419155449,0.0378798807,0.0384103848,4268438.8295562,0.0
20,2019-10-07,0.0383398596,0.0388695605,0.036291164,0.0381778002,4898705.71995706,24300771.6877303
21,2019-10-08,0.0381801875,0.0390597304,0.0371283497,0.0388015188,3923517.24724323,24697778.4149772
22,2019-10-09,0.0387654542,0.0397409841,0.0382977249,0.0390207348,4648692.49786063,24837312.8046681
23,2019-10-10,0.0389971865,0.0390138074,0.0368552698,0.0383396839,3263875.49654246,24403813.1669763
24,2019-10-11,0.0382238529,0.038311029,0.0354726878,0.0360640913,3022573.7781114,22955362.6579109
25,2019-10-12,0.0360908154,0.0362619552,0.0347794469,0.0349881064,2184305.01178827,22270481.2874393
26,2019-10-13,0.0350142851,0.0353592127,0.0330018346,0.0331093733,2458016.51436274,21074638.0239156
27,2019-10-14,0.0331093733,0.0377498644,0.0323727918,0.0373476571,5504883.47070991,23772372.4939532
28,2019-10-15,0.0370627423,0.0403776468,0.0356851053,0.0378287613,5756021.416735,24078602.8814569
29,2019-10-16,0.0378287613,0.0386320696,0.035193859,0.0376309358,5250770.36170357,23952683.8358138
30,2019-10-17,0.0375948011,0.0375948011,0.034177607,0.0350720303,3692976.3576142,22323900.13031
31,2019-10-18,0.0350534183,0.0360608268,0.0334568225,0.0338732003,3286416.51204522,21560825.9421097
32,2019-10-19,0.0338349229,0.0345309566,0.0329171266,0.0335642157,2228299.11398524,21364152.3759225
33,2019-10-20,0.0335187235,0.0339522356,0.0325315942,0.0328255765,2175117.36495609,20893996.9164771
34,2019-10-21,0.0329209191,0.0344095218,0.0327708783,0.0332157266,2536833.09862127,21142333.5933595
35,2019-10-22,0.0331912931,0.0333658338,0.0315525973,0.0315525973,3346362.53679203,20083725.596835
36,2019-10-23,0.0315480492,0.0316845951,0.0271703423,0.0280818493,4196943.81642041,17874539.7706972
37,2019-10-24,0.0280636284,0.0295945973,0.0269274703,0.0289315487,3089111.45777789,18415386.8358137
38,2019-10-25,0.0289315487,0.0309983984,0.0283772909,0.0306872515,5065331.95179448,19532919.3501957
39,2019-10-26,0.0307235571,0.0327311352,0.0291549578,0.0307376737,4380610.26329944,19565013.8640213
40,2019-10-27,0.0307376737,0.0318736086,0.0291150758,0.031685304,2871326.98750756,20168195.5114572
41,2019-10-28,0.0316899892,0.0328757773,0.0301946922,0.0317160053,3899066.901758,20187737.3586245
42,2019-10-29,0.0317021024,0.0343481809,0.0315779967,0.0339615884,4655706.99981686,21617086.3917898
43,2019-10-30,0.033933163,0.0339707682,0.0319594162,0.0327799355,3039731.76055353,20864945.7016381
44,2019-10-31,0.0328503524,0.0337236336,0.0316364567,0.0333668085,2922878.45240007,22625796.1840671
45,2019-11-01,0.0331936748,0.0348911239,0.0328130765,0.0347277014,3060335.21860434,23548608.0004422
46,2019-11-02,0.0347277014,0.0348203554,0.0331062323,0.0345115956,1933072.32572813,23402068.2010018
47,2019-11-03,0.034491497,0.0369907786,0.0332661405,0.0368613156,4251345.25732357,24995396.7161862
48,2019-11-04,0.0368257792,0.0389951049,0.0354560134,0.0365256525,6682646.03364527,24767785.9345624
49,2019-11-05,0.0365256525,0.0371642895,0.0352217049,0.036343935,2591128.58467521,24644564.5786871
50,2019-11-06,0.0363845525,0.0363845525,0.0338820217,0.0342892295,2856084.14196779,23251283.3724684
51,2019-11-07,0.0341902196,0.0343386824,0.0319641304,0.0328957186,1872304.85246159,22306353.4582185
52,2019-11-08,0.0328920126,0.0356559648,0.0328892868,0.0329285301,2694297.18715273,22328602.7647655
53,2019-11-09,0.032934833,0.0393370892,0.0329173041,0.0369337372,6615638.74129079,25044505.2301991
54,2019-11-10,0.036937741,0.036937741,0.0347637508,0.0354679639,2730208.13242185,24050574.806676
55,2019-11-11,0.0354679639,0.035807234,0.0336016353,0.0345708405,1501342.92576389,23442241.7671916
56,2019-11-12,0.0346144759,0.0355740884,0.0343345289,0.0352050882,1351781.9942127,23872320.6049121
57,2019-11-13,0.0352051439,0.0354083307,0.0334444051,0.0351396784,2923369.14721217,23827966.7153566
58,2019-11-14,0.0352077841,0.0356310344,0.0334857963,0.03413593,1729182.21476955,23147332.0273548
59,2019-11-15,0.03413593,0.0343306691,0.0317927875,0.0325025943,2166919.94130223,22039778.7145043
60,2019-11-16,0.0325082638,0.0334291943,0.0319928186,0.0330180566,1158702.43382839,22389310.0376269
61,2019-11-17,0.0330180566,0.0347594766,0.0328013565,0.032865872,2146530.92038552,22286114.7236571
62,2019-11-18,0.032857841,0.0334187168,0.0303641567,0.0310891054,1568646.30735318,21081301.8867874
63,2019-11-19,0.0310734016,0.0314117863,0.0287024588,0.0305384181,1724166.60301529,20707884.7091779
64,2019-11-20,0.0305384181,0.0311209098,0.0289345412,0.0295012219,1570142.40652327,20004569.3479277
65,2019-11-21,0.0294994873,0.029812153,0.0265432595,0.0274169262,1310836.22664486,18591223.2296193
66,2019-11-22,0.0274169262,0.0286203429,0.0255043751,0.0263779653,1852150.41735916,17886711.2184888
67,2019-11-23,0.0263830073,0.0272485183,0.0245450068,0.0258155479,4092772.95123162,17505339.9604149
