,Date,Open,High,Low,Close,Volume,Market Cap
0,2019-10-25,0.7429228808,1.6185839545,0.7333763604,1.3007738176,113909097.451921,0.0
1,2019-10-26,1.2948365778,1.3540900852,0.95932135,0.964592443,40716433.6885742,0.0
2,2019-10-27,0.964592443,0.9963934706,0.763450136,0.8105047585,16035357.3708683,0.0
3,2019-10-28,0.8100659241,1.0678977396,0.7301561795,0.9098724471,25387841.7481501,0.0
4,2019-10-29,0.9098724471,0.9696418644,0.8331116514,0.8716219242,12436697.4596495,0.0
5,2019-10-30,0.8714939447,0.9057491297,0.8054703552,0.8603407398,4313040.33279901,0.0
6,2019-10-31,0.8609323196,0.8632297185,0.7843981373,0.8039661374,2458584.2230033,5011954.19723973
7,2019-11-01,0.8046251598,0.8676550745,0.786890092,0.834369852,3764103.64538196,5201492.06188022
8,2019-11-02,0.834369852,0.9949693137,0.8268313166,0.9491676926,9295577.53173355,5917145.98309599
9,2019-11-03,0.9495823634,1.2659187629,0.9495823634,1.1724998402,29957403.2555413,7309406.72982566
10,2019-11-04,1.1736270985,1.3948877552,1.0858844416,1.1550521883,30360804.0969426,7200637.43215096
11,2019-11-05,1.1550521883,1.182369602,1.0299081095,1.0552618242,12260854.4289432,6578540.6659907
12,2019-11-06,1.057438896,1.1047545701,0.9557166802,0.9682457957,6798666.91682207,6036079.57308981
13,2019-11-07,0.9683280348,1.0999515882,0.9549561805,1.0659650321,7238126.09050184,6645264.85362781
14,2019-11-08,1.065016915,1.1910147151,1.0277657479,1.0593716745,16786370.1251224,6604161.6221498
15,2019-11-09,1.0570486181,1.1620100657,1.0258383927,1.1357829945,10064061.4814724,7080512.57570766
16,2019-11-10,1.1359855516,1.2242238482,1.0816961084,1.1471527923,13235478.9349309,7151392.30919659
17,2019-11-11,1.1471527923,1.202814662,1.1142152529,1.1531421518,5933603.57832999,7188730.19450951
18,2019-11-12,1.1572787112,1.171796344,1.0642636924,1.0938353678,5658007.4935239,6819009.54241302
19,2019-11-13,1.0901919912,1.1137408487,1.0620692051,1.0708106306,2210456.57096937,6675472.49125042
20,2019-11-14,1.0708901653,1.0914666103,0.9980743065,1.0478367073,4390206.45826983,6532252.21647781
21,2019-11-15,1.0478367073,1.0754889771,1.0181361765,1.0455918851,3256689.99773471,6518257.91295701
22,2019-11-16,1.0466914752,1.1674514464,1.0297827707,1.1036244537,7901940.13169687,6880035.06012919
23,2019-11-17,1.1036244537,1.1305356262,1.06768775,1.0815948961,3465018.99700963,6742701.99529371
24,2019-11-18,1.0810345602,1.2205582859,1.0762042551,1.160845819,11852218.407242,7236755.13692999
25,2019-11-19,1.161310412,1.3124139682,1.1546581955,1.2776421926,15136984.0491884,7964867.9859499
26,2019-11-20,1.2776421926,1.4536381819,1.1863985855,1.2060041765,20817872.7311382,7518273.98328021
27,2019-11-21,1.2037923001,1.2037923001,1.064018136,1.1643287441,6394770.19527806,7258467.81885884
28,2019-11-22,1.1647171017,1.2123088673,1.0773072094,1.1388802582,8778074.82434966,7099821.03022839
29,2019-11-23,1.1329989162,1.1916054205,1.1019324307,1.1685583444,4566760.30377002,7284835.30119333
30,2019-11-24,1.1640595527,1.2454853005,1.1496287052,1.2129973741,5792903.78904797,7561869.83157669
31,2019-11-25,1.2133101202,1.2145599674,1.0052573951,1.0901473559,6627931.35997678,6796018.34183727
32,2019-11-26,1.0899255023,1.1444142332,1.0812763444,1.1027317455,2711111.82942651,9877203.40144785
33,2019-11-27,1.0969724845,1.1094059311,1.0317482924,1.0666704287,3897825.99490329,9554201.03681159
34,2019-11-28,1.0689433532,1.1094344832,1.0416509364,1.0668580406,1541481.93106665,9555881.4825813
35,2019-11-29,1.0669656194,1.1290540628,1.0668396757,1.0893115591,2031051.28012048,9756998.36364481
36,2019-11-30,1.0893115591,1.1085039465,1.0677020284,1.074784648,1352541.29753976,9626880.35813604
37,2019-12-01,1.0751254319,1.0802427717,1.0187302311,1.0648116683,1353229.84387656,9537552.06064813
38,2019-12-02,1.0679944342,1.077164522,1.0102854776,1.0215407158,1191925.14573547,9149972.75981766
39,2019-12-03,1.0219969781,1.0675873027,1.003133585,1.0499243861,1219170.59799047,9404206.19943866
40,2019-12-04,1.04885541,1.052530739,0.9317852743,0.9507005991,2275290.04138109,8515455.57623895
41,2019-12-05,0.9507005991,0.9918885657,0.8898976929,0.9335969308,2263142.04739394,8362257.47427538
42,2019-12-06,0.9333201829,1.0347086014,0.9202750375,0.9774660419,2115696.27589179,8755194.500846
43,2019-12-07,0.9787453779,1.0139972848,0.9528265151,0.9897694743,1011414.87492797,8865396.73668762
44,2019-12-08,0.9897694743,0.9931920723,0.9596266501,0.9654427365,963479.974198234,8647501.37072194
45,2019-12-09,0.9656118787,0.9762155104,0.9155107136,0.9218384594,611779.677300569,8256936.47110891
46,2019-12-10,0.9213088792,0.9234149016,0.7809264239,0.8067025533,1891560.07269762,7225660.48941117
47,2019-12-11,0.8068142346,0.8444600525,0.802496741,0.8217310157,611799.578608989,7360270.90591337
48,2019-12-12,0.8217031857,0.8421515432,0.8059443194,0.8413255368,537424.670155304,7538724.29532359
49,2019-12-13,0.8410135131,0.9872939265,0.8215096017,0.9683579431,3743341.98827173,8677002.22173907
50,2019-12-14,0.9660572467,1.038226507,0.8991775358,0.9437208856,2527612.40609935,8456241.08276909
51,2019-12-15,0.9437208856,1.0988926381,0.8968196919,1.0525172159,4081143.34587668,9431114.06932493
52,2019-12-16,1.0525172159,1.0745145541,0.95764309,0.9609340312,1681387.08339852,8610480.02252507
53,2019-12-17,0.9609340312,1.11276662,0.956708614,1.0442727226,5614411.67559289,9357239.02426083
54,2019-12-18,1.0442727226,1.0694226912,0.9287758055,0.9981664399,3831258.63058635,8944102.20812156
55,2019-12-19,0.9981664399,1.0375798039,0.9574536128,0.9891398998,1465862.73955501,8863219.60806869
56,2019-12-20,0.9891398998,1.0544124231,0.9618605401,1.040408866,1318037.20678625,9322616.81392015
57,2019-12-21,1.0408212201,1.1649834496,1.0308257333,1.070598609,3596121.68417062,9593132.96821715
58,2019-12-22,1.0687308063,1.138708389,1.0496193346,1.0712747846,1911723.67037963,9599191.86123866
59,2019-12-23,1.0715181421,1.0874504088,0.9927229628,1.0075094647,1351974.1110046,9027820.67923072
60,2019-12-24,1.0053005996,1.1283206753,0.9924860534,1.0777270168,3569089.74251037,9657007.29402369
61,2019-12-25,1.0777270168,1.0939431314,1.0485154432,1.0772204385,2431218.7882098,9652468.08319511
62,2019-12-26,1.0776263465,1.1386372992,1.0776263465,1.0856431265,3370089.94290993,9727939.84746012
63,2019-12-27,1.0899495118,1.2175835446,1.0895205706,1.1989721731,4720837.52863248,10743428.3822971
64,2019-12-28,1.1989721731,1.3188857982,1.1798840343,1.1854036538,5175448.73699863,10621847.2323412
65,2019-12-29,1.1764669681,1.2342618077,1.1207453477,1.156151221,3495719.30499735,10359729.8758849
