,Date,Open,High,Low,Close,Volume,Market Cap
0,2017-01-29,22.0986995697,24.6093997955,22.0531005859,22.6453990936,13324.900390625,0.0
1,2017-01-30,22.6665992737,24.64220047,21.0597991943,24.3138008118,62568.0,0.0
2,2017-01-31,24.297700882,24.4883003235,24.2534999847,24.4500999451,62919.0,0.0
3,2017-08-27,288.0029907227,291.0929870605,288.0029907227,290.8479919434,75657.203125,0.0
4,2017-08-28,291.4159851074,295.8689880371,280.1879882813,286.0260009766,19214.900390625,0.0
5,2017-08-29,285.8529968262,318.7390136719,285.8529968262,316.9169921875,4370.8198242188,0.0
6,2017-08-30,316.7300109863,335.7179870605,295.7269897461,295.7269897461,182599.0,0.0
7,2017-08-31,295.7130126953,300.0610046387,293.550994873,298.8970031738,168815.0,0.0
8,2017-09-01,298.8970031738,345.0409851074,298.8970031738,309.3550109863,28212.19921875,0.0
9,2017-09-02,309.5140075684,309.6400146484,274.3770141602,290.9840087891,26845.19921875,0.0
10,2017-09-03,291.7090148926,307.3280029297,280.5419921875,292.3819885254,1101.5400390625,0.0
11,2017-09-04,292.5140075684,292.5140075684,227.091003418,248.4940032959,313606.0,0.0
12,2017-09-05,248.6929931641,598.4979858398,218.2740020752,256.0559997559,341784.0,0.0
13,2017-09-06,257.2059936523,276.1610107422,257.2059936523,273.9509887695,32725.19921875,0.0
14,2017-09-07,273.8890075684,276.5239868164,241.953994751,274.4049987793,13710.7998046875,0.0
15,2017-09-08,274.7229919434,274.7229919434,240.8200073242,251.1499938965,753.4509887695,0.0
16,2017-09-09,251.5639953613,251.5639953613,247.6510009766,248.3150024414,744.9439697266,0.0
17,2017-11-20,252.4819946289,278.2309875488,252.4019927979,272.449005127,259174.0,0.0
18,2017-11-21,272.0199890137,288.925994873,260.0190124512,279.9200134277,9649.2802734375,0.0
19,2017-11-22,280.2770080566,400.6489868164,280.050994873,326.191986084,14576.5,0.0
20,2017-11-23,326.941986084,359.4989929199,320.8649902344,347.4360046387,1186.9399414063,0.0
21,2017-11-24,345.6969909668,408.1350097656,339.2529907227,401.825012207,166167.0,0.0
22,2017-11-25,401.7590026855,423.2900085449,364.4509887695,395.2619934082,200519.0,0.0
23,2017-11-26,395.2749938965,406.6319885254,374.6889953613,404.7860107422,12131.7998046875,0.0
24,2017-11-27,404.6849975586,572.8640136719,393.3710021973,421.4570007324,1993.1199951172,0.0
25,2017-11-28,420.8800048828,423.5559997559,381.75,382.0700073242,29741.19921875,0.0
26,2017-11-29,382.3770141602,420.1610107422,319.7139892578,327.5429992676,1699.4200439453,0.0
27,2017-11-30,331.7380065918,385.3930053711,308.1820068359,381.358001709,16339.2001953125,0.0
28,2017-12-01,380.4119873047,391.5539855957,341.8800048828,376.9190063477,5627.240234375,0.0
29,2017-12-02,376.908996582,405.9779968262,372.574005127,373.3999938965,2612.4299316406,0.0
30,2017-12-03,373.5260009766,420.7550048828,369.6900024414,403.033996582,6006.6801757813,0.0
31,2017-12-04,403.7770080566,411.2770080566,384.1780090332,396.2260131836,4041.5,0.0
32,2017-12-05,396.4289855957,402.7449951172,377.6040039063,396.3460083008,11304.099609375,0.0
33,2017-12-06,395.6499938965,397.1350097656,353.8989868164,361.1879882813,53172.0,0.0
34,2017-12-07,359.933013916,377.8179931641,347.2269897461,358.6440124512,65610.203125,0.0
35,2017-12-08,359.1650085449,410.1239929199,350.3150024414,402.7699890137,36391.3984375,0.0
36,2017-12-09,402.7600097656,453.3059997559,402.7600097656,425.9970092773,3864.2700195313,0.0
37,2017-12-10,427.3640136719,427.3640136719,388.391998291,399.8039855957,65533.69921875,0.0
38,2017-12-11,400.2550048828,486.5050048828,391.8049926758,486.5050048828,71980.3984375,0.0
39,2017-12-12,483.3850097656,626.8590087891,462.1730041504,621.9899902344,118742.0,0.0
40,2017-12-13,622.416015625,822.5969848633,553.2789916992,820.7459716797,100344.0,0.0
41,2017-12-14,820.3189697266,872.2600097656,763.5200195313,802.791015625,63565.1015625,0.0
42,2017-12-15,803.5419921875,861.7800292969,712.2769775391,791.0380249023,206328.0,0.0
43,2017-12-16,792.5360107422,1116.5699462891,792.5360107422,1079.2399902344,731649.0,0.0
44,2017-12-17,1082.2600097656,1154.9200439453,1046.6600341797,1070.1899414063,259197.0,0.0
45,2017-12-18,1068.7800292969,1229.9000244141,992.4119873047,1218.4200439453,455522.0,0.0
46,2017-12-19,1221.9899902344,1750.0300292969,1219.75,1394.9399414063,1282490.0,0.0
47,2017-12-20,1393.4499511719,1458.4699707031,1118.4599609375,1277.5699462891,262010.0,0.0
48,2017-12-21,1278.9399414063,1361.1400146484,1021.4600219727,1095.1899414063,799675.0,0.0
49,2017-12-22,1098.9699707031,1111.0899658203,682.6550292969,823.3950195313,633680.0,0.0
50,2017-12-23,830.2399902344,1084.7299804688,830.2399902344,989.8209838867,599721.0,0.0
51,2017-12-24,1001.1500244141,1103.9300537109,809.2020263672,1005.5999755859,245322.0,0.0
52,2017-12-25,1012.0,1054.7800292969,918.2769775391,1047.1999511719,357740.0,0.0
53,2017-12-26,1053.5600585938,1114.4699707031,823.5490112305,1064.3299560547,943383.0,0.0
54,2017-12-27,1065.4100341797,1100.5100097656,1010.7700195313,1038.1099853516,877151.0,0.0
55,2017-12-28,1041.7199707031,1043.0600585938,920.6090087891,996.7609863281,799689.0,0.0
56,2017-12-29,1006.8800048828,1044.8000488281,970.5729980469,1007.0800170898,800242.0,0.0
57,2017-12-30,1010.7700195313,1012.5999755859,869.2880249023,918.4349975586,528455.0,0.0
58,2017-12-31,907.9520263672,994.3189697266,902.0469970703,959.9140014648,814006.0,0.0
59,2018-01-01,961.0159912109,985.5889892578,882.9959716797,970.0850219727,502841.0,0.0
60,2018-01-02,971.1740112305,1070.0999755859,958.8430175781,1063.0699462891,660736.0,0.0
61,2018-01-03,1064.7700195313,1090.8800048828,999.216003418,1074.5300292969,809445.0,0.0
62,2018-01-04,998.3859863281,1098.1500244141,933.8319702148,1040.25,733011.0,0.0
63,2018-01-05,1033.5200195313,1117.9599609375,1012.9000244141,1096.7800292969,1657580.0,0.0
64,2018-01-06,1105.4699707031,1216.9000244141,1092.4200439453,1216.9000244141,2040790.0,0.0
65,2018-01-07,1224.5200195313,1267.3199462891,1134.8900146484,1169.3499755859,1802970.0,0.0
66,2018-01-08,1171.0699462891,1220.7800292969,1015.8900146484,1112.8800048828,1242620.0,0.0
67,2018-01-09,1112.3399658203,1259.5600585938,941.5479736328,1096.4399414063,1557700.0,0.0
68,2018-01-10,1097.6899414063,1151.8499755859,1004.0200195313,1076.5300292969,1244900.0,0.0
69,2018-01-11,1073.6700439453,1133.5,958.5460205078,1015.1599731445,1686490.0,0.0
70,2018-01-12,1023.5700073242,1413.1700439453,985.3389892578,1327.8800048828,976364.0,0.0
71,2018-01-13,1326.2399902344,1490.5600585938,1326.2399902344,1422.9899902344,710161.0,0.0
72,2018-01-14,1432.7600097656,1534.8000488281,1267.4399414063,1403.1099853516,378266.0,0.0
73,2018-01-15,1387.4599609375,1469.0699462891,1201.0500488281,1234.0200195313,891849.0,0.0
74,2018-01-16,1236.2299804688,1287.7700195313,902.5830078125,1063.1800537109,1692020.0,0.0
75,2018-01-17,1070.4200439453,1123.6700439453,782.742980957,1046.2700195313,1041520.0,646833169.029
76,2018-01-18,1055.2399902344,1773.9200439453,1026.0999755859,1654.8199462891,2448320.0,1023055678.53
77,2018-01-19,1676.4399414063,1762.7299804688,1458.9399414063,1560.2600097656,1521410.0,964596060.586
78,2018-01-20,1573.9200439453,1767.0400390625,1562.5600585938,1690.1899414063,1254440.0,1044922394.76
79,2018-01-21,1692.2099609375,1720.5100097656,1537.6899414063,1576.7299804688,1261940.0,974778271.959
80,2018-01-22,1586.4200439453,1659.1300048828,1390.2399902344,1524.5600585938,1408450.0,942525329.193
81,2018-01-23,1515.1999511719,1568.5699462891,1425.9000244141,1523.4100341797,1562460.0,941814367.257
82,2018-01-24,1526.6600341797,1590.3699951172,1478.9699707031,1535.2900390625,1786450.0,949158913.166
83,2018-01-25,1544.2600097656,1599.0400390625,1321.0899658203,1345.5699462891,2070310.0,831868740.621
84,2018-01-26,1348.4499511719,1497.7199707031,1348.4499511719,1472.3599853516,1693530.0,910253839.593
85,2018-01-27,1464.0699462891,1485.1199951172,1335.9699707031,1439.8900146484,1847870.0,890179983.898
86,2018-01-28,1448.2199707031,1587.4000244141,1424.6300048828,1488.3599853516,2374320.0,920145483.915
87,2018-01-29,1489.3900146484,1499.1199951172,1307.3100585938,1403.3499755859,1049540.0,867589941.178
88,2018-01-30,1402.3599853516,1411.0899658203,1251.4399414063,1277.8399658203,1076760.0,789996173.752
89,2018-01-31,1280.9599609375,1386.9899902344,1243.8299560547,1386.9899902344,1062640.0,857475734.859
90,2018-02-01,1387.7600097656,1399.6600341797,1189.3599853516,1272.6700439453,700913.0,786799936.181
91,2018-02-02,1269.9300537109,1269.9300537109,980.2449951172,1148.2299804688,716121.0,709867672.469
