,Date,Open,High,Low,Close,Volume,Market Cap
0,2020-10-14,1.69456043,1.69456043,1.06481824,1.18580562,94692272.69945826,2073694701.4970412
1,2020-10-15,1.17792876,1.24922492,1.08877985,1.12555705,34933418.80656864,196833413.32172883
2,2020-10-16,1.12460069,1.15171128,0.81455015,0.81751143,37020874.55242604,142963491.363533
3,2020-10-17,0.81751144,0.85375487,0.7272235,0.80813619,23630172.505062,141323981.7804989
4,2020-10-18,0.8090369,0.87325962,0.80205949,0.87167397,14376472.53288807,152435243.61880016
5,2020-10-19,0.87125754,0.87125754,0.77349476,0.8003661,12526816.82874854,139965176.7760017
6,2020-10-20,0.79985846,0.81001096,0.6726613,0.67606142,13390242.37107821,118227217.01322405
7,2020-10-21,0.67618542,0.74655884,0.67435653,0.70140572,12835212.58779978,122659337.17033373
8,2020-10-22,0.70165829,0.78685821,0.70165829,0.74923402,11632894.85199723,131023379.88981631
9,2020-10-23,0.74930684,0.75261166,0.68918789,0.7283077,8050408.40918774,127363859.68680815
10,2020-10-24,0.7283077,0.75395156,0.70735263,0.73907353,7326430.99271386,129246550.09666182
11,2020-10-25,0.73907353,0.84956798,0.72792552,0.84636459,17602174.99889652,148009228.5583293
12,2020-10-26,0.84636459,0.84636459,0.74486423,0.77935698,14529440.172473,136291177.06766224
13,2020-10-27,0.77935698,0.80190088,0.74775427,0.75754572,10473271.92689255,132476901.77280162
14,2020-10-28,0.75754572,0.77651307,0.68117406,0.69911947,11024111.46600183,122259526.90599398
15,2020-10-29,0.69908702,0.72298704,0.67118249,0.69008243,7592468.62429082,120679159.87579595
16,2020-10-30,0.69008243,0.702838,0.61770041,0.63167106,11372427.8724418,110464387.30927357
17,2020-10-31,0.63167106,0.65416389,0.61895812,0.63365591,3374594.01665763,110811492.40678549
18,2020-11-01,0.63365591,0.65507519,0.60010036,0.63429566,5407189.4334622,110923368.56484078
19,2020-11-02,0.63429566,0.64693319,0.60526663,0.60667264,16813813.06990977,106092753.47601175
20,2020-11-03,0.60667264,0.61239784,0.55746987,0.56166645,1086986.73431256,98222231.30591515
21,2020-11-04,0.56166645,0.56428447,0.52596364,0.53420985,6449744.84964676,93420718.08836336
22,2020-11-05,0.53420985,0.7166285,0.53293463,0.69227868,19017737.96611201,121063233.50012162
23,2020-11-06,0.6925119,0.76228968,0.68915225,0.71821116,14062989.64887014,125598213.17755093
24,2020-11-07,0.71821114,0.78797943,0.67346318,0.69687039,14092056.25536806,121866215.44973065
25,2020-11-08,0.69687114,0.82735551,0.68499469,0.815197,11126528.8823993,142558751.98292786
26,2020-11-09,0.81520023,0.92612367,0.80132808,0.91290444,16478134.09970239,159645480.40329453
27,2020-11-10,0.91288703,0.97063442,0.88273225,0.94353599,21560515.32926108,165002217.8088215
28,2020-11-11,0.9435303,0.98979812,0.85822051,0.86233636,14450323.60212797,150802315.02023116
29,2020-11-12,0.86232674,0.87778882,0.76016269,0.78840596,13343145.06778191,246466037.03967872
30,2020-11-13,0.78840641,0.91326856,0.77970669,0.89936829,20365194.60497016,281154314.4699606
31,2020-11-14,0.89936795,0.90370561,0.82374328,0.87087317,17048213.65971046,272246368.1631501
32,2020-11-15,0.87087683,0.88496534,0.79802406,0.82680108,23586785.40330617,258468854.9308714
33,2020-11-16,0.8268009,0.89856124,0.81985324,0.86677881,16713699.40698416,270966416.3781232
34,2020-11-17,0.91751576,0.98018738,0.89002224,0.92843164,39282785.01955207,290239899.891117
35,2020-11-18,0.92820337,0.94296173,0.79418346,0.83231176,33744128.1507055,260191564.46565393
36,2020-11-19,0.83229503,0.87588699,0.80486618,0.8449696,10825929.78254477,264148573.3743123
37,2020-11-20,0.84496805,0.9409046,0.83527096,0.9375589,27528672.28083901,293093201.08532035
38,2020-11-21,0.93755183,1.20263259,0.93755183,1.18194803,86779207.24857295,232738591.70263016
39,2020-11-22,1.18195008,1.18198817,1.00054748,1.07107708,27813148.9644007,210906879.36065605
40,2020-11-23,1.07098174,1.20514841,1.05536996,1.17009279,40960416.30903776,230404162.94903105
41,2020-11-24,1.17025528,1.2908229,1.14136804,1.24154539,50191464.51304412,244473967.41858527
42,2020-11-25,1.2416767,1.29822702,1.08146146,1.10727084,26504408.571676,218033830.0193422
43,2020-11-26,1.10696292,1.12860295,0.9063862,1.00613028,70643865.21457264,198118137.89657545
44,2020-11-27,1.00709442,1.05147941,0.94256057,0.9966444,32146495.81120664,196250264.681103
