,Date,Open,High,Low,Close,Volume,Market Cap
0,2019-04-30,1.5808521122,1.6052882359,1.5802735566,1.6000947265,13692771.5566444,0.0
1,2019-05-01,1.5973955373,1.6264275704,1.5877040198,1.6059057738,31593856.938051,0.0
2,2019-05-02,1.6058598558,1.7115874908,1.5919752231,1.6134902778,48902449.5381497,0.0
3,2019-05-03,1.6147351893,1.6771401719,1.6131745377,1.6423062855,43766399.3450361,0.0
4,2019-05-04,1.6424641667,1.6543791408,1.565448579,1.5919308644,41405101.8065616,0.0
5,2019-05-05,1.5924482441,1.6183866336,1.5753932993,1.5907989763,27572506.3168404,0.0
6,2019-05-06,1.5902999761,1.631666023,1.5410041034,1.6249002407,54219208.8876983,0.0
7,2019-05-07,1.624204699,1.6505972916,1.5806847184,1.5806847184,51668927.9162284,0.0
8,2019-05-08,1.5823151761,1.6367999242,1.5293626441,1.6103580569,66144714.0551662,0.0
9,2019-05-09,1.6109442323,1.6905340721,1.5941696785,1.6292118318,79710482.9900687,0.0
10,2019-05-10,1.6287666229,1.6536372832,1.4691120411,1.4953454719,106960548.060592,0.0
11,2019-05-11,1.492906866,1.492906866,1.3196867406,1.4113125518,157992979.81284,0.0
12,2019-05-12,1.4119685357,1.4477303581,1.306893409,1.4281172023,112275696.524315,0.0
13,2019-05-13,1.4281172023,1.4908223584,1.4115618767,1.4304386279,70156216.5032467,0.0
14,2019-05-14,1.4311171254,1.4515096954,1.3545197212,1.4281084086,72735287.0885686,0.0
15,2019-05-15,1.4288859794,1.5993228511,1.4110016841,1.598632174,118670864.340702,0.0
16,2019-05-16,1.6086529692,1.6581724936,1.3918917018,1.4156496329,172270889.674279,0.0
17,2019-05-17,1.4167500331,1.4321531244,1.2531148748,1.3576529767,130103520.110222,0.0
18,2019-05-18,1.3576529767,1.3670205685,1.305381066,1.3391339366,72253323.8808784,0.0
19,2019-05-19,1.3405945177,1.4446302998,1.339701403,1.4090947062,110254535.267717,0.0
20,2019-05-20,1.4090947062,1.4090947062,1.3332060743,1.3595296649,81273098.7459626,0.0
21,2019-05-21,1.3605375812,1.4654049546,1.3558988132,1.4295227392,103995457.869528,0.0
22,2019-05-22,1.4295227392,1.5308262094,1.4043000845,1.4591174613,138929305.142173,0.0
23,2019-05-23,1.4591174613,1.549630458,1.4445524348,1.5309321749,111063576.040483,0.0
24,2019-05-24,1.5295535332,1.6885570575,1.5159364196,1.6215145805,154090656.602479,0.0
25,2019-05-25,1.6215145805,1.7645353328,1.6212017602,1.6456894236,127717316.018967,0.0
26,2019-05-26,1.6461899815,1.681114103,1.5827575278,1.6684009403,109840037.011747,0.0
27,2019-05-27,1.6694703196,1.7094743382,1.6139565084,1.6532360233,119592939.62396,0.0
28,2019-05-28,1.6528517712,1.7014466715,1.591216489,1.6518130717,113637122.181652,0.0
29,2019-05-29,1.6518130717,1.6520453392,1.5432045367,1.597525021,107250863.129106,0.0
30,2019-05-30,1.597525021,1.6160254973,1.4629926306,1.5218205837,111341860.114036,0.0
31,2019-05-31,1.5218205837,1.5462177101,1.4609295039,1.5069544342,103993835.353976,0.0
32,2019-06-01,1.5069544342,1.5535413896,1.4792691703,1.495007482,95598969.5298413,0.0
33,2019-06-02,1.495007482,1.5481265175,1.4855182486,1.5147981551,82414896.7474133,0.0
34,2019-06-03,1.5147981551,1.5787439092,1.463381529,1.4723555455,109553444.322942,0.0
35,2019-06-04,1.4740118245,1.4745830446,1.3462431799,1.4005971071,102576851.98498,0.0
36,2019-06-05,1.4025426923,1.4326467281,1.3831923676,1.411612393,64837253.1974884,0.0
37,2019-06-06,1.4109633662,1.4307062743,1.3703952664,1.4108898239,53023941.7687932,0.0
38,2019-06-07,1.4116531205,1.4818992491,1.401601514,1.4660806598,66240459.203094,0.0
