,Date,Open,High,Low,Close,Volume,Market Cap
0,2020-08-14,0.0865768278,0.0865768278,0.0595966713,0.0656454406,118988161.424851,23632358.599224
1,2020-08-15,0.0660771333,0.0695089943,0.0489847911,0.0509638906,36213440.8861267,26778693.3713698
2,2020-08-16,0.051437799,0.069507705,0.0480644808,0.0608472753,33023213.2772506,31971862.9914184
3,2020-08-17,0.0608472753,0.0650734012,0.0525250196,0.0539991347,11686493.0467265,28373545.5006356
4,2020-08-18,0.0537835359,0.0609902084,0.0506752778,0.0516999356,7401292.96966819,27165444.1167464
5,2020-08-19,0.0516901903,0.0571502544,0.04809755,0.0520951397,7375433.43532248,27373101.903355
6,2020-08-20,0.0520951397,0.0573254666,0.0508004831,0.0536484281,7332475.38719208,28189268.6790282
7,2020-08-21,0.0536435099,0.053738445,0.0442348357,0.0442348357,5121096.56765228,23242948.7985787
8,2020-08-22,0.0443951971,0.0490112274,0.040692185,0.0460109011,4347393.91760459,24176172.5309792
9,2020-08-23,0.0459900238,0.0482370793,0.0419649575,0.0440069093,3114426.35180452,23123186.1671306
10,2020-08-24,0.0439017028,0.0535432868,0.0421782698,0.0512987446,7868186.24397631,26954640.5227601
11,2020-08-25,0.0508949588,0.0568463791,0.0457688532,0.0480801097,5842508.77423912,25263426.6899956
12,2020-08-26,0.0480796249,0.0587935605,0.0471246367,0.058101417,8339238.46740236,30529066.9704539
13,2020-08-27,0.0583222238,0.0750666309,0.0544657679,0.0737082041,34658385.8964056,38804139.9495869
14,2020-08-28,0.074216004,0.0823072635,0.0692228228,0.069642182,25598529.9118401,36663557.451098
15,2020-08-29,0.0696583143,0.0744299609,0.0658989558,0.0725089329,11274341.9784204,38172776.2170812
16,2020-08-30,0.0728825131,0.0739441572,0.0647414675,0.0666416517,9422026.919622,35083909.7025457
17,2020-08-31,0.0669129096,0.0781241253,0.0669129096,0.0701844968,13825613.1776602,36949276.4147552
18,2020-09-01,0.0701682943,0.0708715245,0.0595869651,0.0599013428,14081068.5483158,31536428.3873353
19,2020-09-02,0.0597424635,0.0608590442,0.051136456,0.059071642,10893387.7634634,31099613.4431278
20,2020-09-03,0.0589323561,0.0595484201,0.0438422663,0.0443351026,5884471.97352791,23341589.0814662
21,2020-09-04,0.0439627267,0.0474897063,0.0389518077,0.0454305599,5619298.00173739,24157825.1507094
22,2020-09-05,0.0452978544,0.0470436869,0.0352308828,0.0375667094,4072606.26034997,19976201.0371274
23,2020-09-06,0.0375615398,0.0425551999,0.0334051175,0.0409244919,4407989.97320759,21761711.0986037
24,2020-09-07,0.0409259323,0.0411518368,0.0336355661,0.0379244038,2943075.75272904,20166405.99471
25,2020-09-08,0.0385803241,0.0583864233,0.0369709549,0.0498501092,23080883.7441705,29050848.2907127
26,2020-09-09,0.0498863277,0.0566762739,0.0464236315,0.0483292992,16462247.202032,28171515.4560191
27,2020-09-10,0.0483292992,0.0535027263,0.047252588,0.0495629111,8172980.39812276,28890597.1902617
28,2020-09-11,0.0495516607,0.0545060508,0.0463863505,0.0517954353,8374071.79165065,30197427.1439517
29,2020-09-12,0.0517796665,0.0517796665,0.0476861042,0.0493433795,3413060.60133324,28767846.0121964
30,2020-09-13,0.0493768101,0.0498743146,0.0417488142,0.043615714,5931319.52991174,25428540.9121153
