,Date,Open,High,Low,Close,Volume,Market Cap
0,2018-03-06,0.9984620214,1.0153900385,0.9898909926,1.0115699768,10643500.0,0.0
1,2018-03-07,0.994246006,1.0339599848,0.979870975,1.0049200058,6274620.0,0.0
2,2018-03-08,1.0033999681,1.0180599689,0.9822840095,1.0163500309,2401910.0,0.0
3,2018-03-09,1.0113099813,1.0223200321,0.9804589748,0.9952809811,5316350.0,0.0
4,2018-03-10,0.9842100143,1.015239954,0.9788730145,1.0046399832,1606990.0,0.0
5,2018-03-11,1.0008100271,1.0288200378,0.9803130031,1.0005400181,2099980.0,0.0
6,2018-03-12,1.005679965,1.014160037,0.9818149805,0.9921900034,1398700.0,6510676.36575
7,2018-03-13,0.9864929914,1.0187499523,0.9834370017,1.003469944,1210120.0,6584694.87975
8,2018-03-14,1.003450036,1.0193599463,0.9794089794,0.9961950183,1888930.0,6536956.87538
9,2018-03-15,1.0082399845,1.0201400518,0.9843720198,0.9918310046,2610810.0,6525801.65605
10,2018-03-16,0.9954019785,1.0164599419,0.9844580293,0.9885810018,902615.0,6504418.11855
11,2018-03-17,0.9943320155,1.0170300007,0.9831749797,1.0009499788,1321340.0,6585800.5725
12,2018-03-18,0.998281002,1.0289800167,0.967203021,0.990218997,3493100.0,6515195.42145
13,2018-03-19,0.9694499969,1.0143699646,0.9694499969,1.004940033,2291760.0,6612052.977
14,2018-03-20,1.0125999451,1.0125999451,0.9849259853,1.0010199547,1785010.0,6586261.141
15,2018-03-21,1.0028100014,1.0178300142,0.9831600189,0.9989299774,1219640.0,6572509.8815
16,2018-03-22,0.9972490072,1.0194300413,0.9888769984,1.0095299482,2908660.0,6642253.1115
17,2018-03-23,0.9945679903,1.0168399811,0.9834139943,0.9935500026,2202750.0,6537111.9025
18,2018-03-24,1.0041699409,1.0090299845,0.9873759747,0.9988999963,967029.0,7915398.22378
19,2018-03-25,0.9906010032,1.0070899725,0.9875900149,0.9958329797,825428.0,7891094.96384
20,2018-03-26,0.9949929714,1.0116599798,0.9824979901,1.000970006,2587900.0,7931801.14131
21,2018-03-27,0.9985200167,1.0165300369,0.9894180298,0.9994239807,2200920.0,7919550.4599
22,2018-03-28,0.992560029,1.0163700581,0.9868100286,1.0002599955,951963.0,7926175.01983
23,2018-03-29,1.0012899637,1.0142999887,0.978259027,1.0082999468,2985780.0,7989884.90242
24,2018-03-30,1.0059800148,1.0198999643,0.9867569804,0.9944000244,3017020.0,9421059.7074
25,2018-03-31,1.0040899515,1.0145499706,0.9935129881,1.0004600286,1613600.0,9478472.84278
26,2018-04-01,1.0005300045,1.0181399584,0.9922810197,1.0062600374,2178630.0,9533422.70833
27,2018-04-02,1.0107899904,1.0147900581,0.9912689924,0.997386992,1017440.0,9449358.88816
28,2018-04-03,0.998044014,1.0123699903,0.9894149899,1.0017900467,1527120.0,9491073.4154
29,2018-04-04,1.0013999939,1.0206500292,0.9927840233,1.0032999516,1664350.0,9605709.32867
30,2018-04-05,1.0036599636,1.020810008,0.990474999,1.009739995,1245700.0,9667366.62767
31,2018-04-06,1.005210042,1.0154999495,0.9962980151,1.0096999407,867908.0,9666983.66308
32,2018-04-07,1.0053800344,1.0160499811,0.9347339869,1.0070899725,802142.0,9641995.22358
33,2018-04-08,1.0050799847,1.0158100128,0.9997209907,1.0084799528,617041.0,9655303.24308
34,2018-04-09,1.0102499723,1.0151799917,0.9968860149,1.0085599422,1364890.0,9644975.01226
35,2018-04-10,1.0075600147,1.0141500235,0.9954609871,0.9995620251,816891.0,9558926.10574
36,2018-04-11,0.9995099902,1.0132900476,0.9949309826,1.0105099678,803442.0,9663623.08602
37,2018-04-12,1.0084300041,1.0253800154,0.9947999716,1.0061099529,3940870.0,9621545.38112
38,2018-04-13,1.0073900223,1.0201300383,0.9959639907,1.0066299438,2514640.0,9626518.20079
39,2018-04-14,1.0100200176,1.016100049,0.9860839844,1.0092300177,3937500.0,9661474.59914
40,2018-04-15,1.0081700087,1.0215699673,0.9937899709,1.0032000542,3089420.0,9603748.7172
41,2018-04-16,1.0020999908,1.0127199888,0.9947569966,0.9981139898,2861680.0,9764663.79558
42,2018-04-17,0.9985730052,1.0121999979,0.9904410243,0.9948800206,1665870.0,9733025.20248
43,2018-04-18,0.9997739792,1.0184299946,0.9863730073,1.004150033,1883270.0,9823714.67621
44,2018-04-19,1.0085799694,1.0094799995,0.9906499982,0.9987099767,1474770.0,9760507.43197
45,2018-04-20,1.0061999559,1.0079900026,0.9846190214,0.9910879731,1856480.0,9686016.75135
46,2018-04-21,0.9898859859,1.0089399815,0.9879369736,1.0086300373,1920660.0,9857456.73029
47,2018-04-22,1.0041899681,1.0111800432,0.9858800173,0.9988570213,1184730.0,9761944.07984
48,2018-04-23,0.9918109775,1.0025299788,0.9865970016,0.9969249964,825197.0,9743062.42214
49,2018-04-24,0.9913600087,1.0044499636,0.9522989988,1.0042799711,1494160.0,12064530.8811
50,2018-04-25,0.9951819777,1.0096800327,0.9857910275,0.9961500168,3664970.0,11966864.2582
51,2018-04-26,1.0049300194,1.0132900476,0.9930670261,1.0065499544,1607780.0,12091800.6516
52,2018-04-27,1.0057300329,1.0099400282,0.991057992,0.9972509742,1747910.0,11980090.6976
53,2018-04-28,1.0009000301,1.015920043,0.9897069931,1.0056400299,729946.0,12066179.3337
54,2018-04-29,1.0053299665,1.0111500025,0.9919739962,0.9948379993,1297700.0,11936571.453
55,2018-04-30,0.99455899,1.0092899799,0.9877439737,0.9991019964,751246.0,11987733.09
56,2018-05-01,0.9994090199,1.0088200569,0.9910280108,0.9977200031,1040720.0,11971151.1523
57,2018-05-02,0.9962390065,1.0059700012,0.992027998,0.9955390096,802290.0,11944982.4069
58,2018-05-03,0.9965609908,1.0091500282,0.9917380214,0.9999060035,856968.0,11997379.8903
59,2018-05-04,1.0047600269,1.0047600269,0.9918580055,0.9941830039,722743.0,11928712.4304
60,2018-05-05,0.9938070178,1.006970048,0.9921969771,0.9973999858,911993.0,11967311.6299
61,2018-05-06,0.9978219867,1.0089099407,0.9906979799,0.9979770184,1070340.0,11974234.7688
62,2018-05-07,0.9986079931,1.0087000132,0.9908090234,1.0034300089,1011150.0,12039662.6316
63,2018-05-08,1.0059599876,1.0067100525,0.9880399704,1.0030800104,530015.0,12020617.5699
