,Date,Open,High,Low,Close,Volume,Market Cap
0,2020-09-17,1.0994109897,4.4408836829,0.4189975514,3.4708177345,1762718356.60876,590039014.8599
1,2020-09-18,3.4881529615,8.4385374089,3.2617574718,6.8972568219,6061110197.71016,668111645.023516
2,2020-09-19,6.9455769791,7.4432747877,5.3217948569,5.7244641808,2447471305.09283,554507578.80579
3,2020-09-20,5.7205148121,6.0503256299,4.720209841,5.2441954894,1554143599.05737,507985734.869998
4,2020-09-21,5.2441954894,5.6221547589,4.1607425585,4.2660785598,1329464490.16774,413239181.608882
5,2020-09-22,4.2750136626,4.5540924279,3.755040311,3.9051378654,816282684.413704,378276197.429285
6,2020-09-23,3.9179441,4.70764808,3.91656188,4.6532649,964205456.9093665,450744484.21021295
7,2020-09-24,4.44857591,5.24979542,4.44857491,5.13726606,1168427377.431701,497627878.46547896
8,2020-09-25,5.1604458,5.52867918,4.848576,5.0129515,882242519.2985622,485585988.6782823
9,2020-09-26,5.01134874,5.22504502,4.73724624,4.80588085,463707078.01120204,465527823.6737845
10,2020-09-27,4.8022694,5.44252226,4.72870427,4.78089893,444099191.73009294,463107918.5720507
11,2020-09-28,4.78143002,4.93726458,4.16431477,4.18797912,435788115.8773787,405673978.9361568
12,2020-09-29,4.1879735,4.41739496,4.11835371,4.41737989,356399046.7000155,427895179.20957077
13,2020-09-30,4.44818183,4.44867244,3.92189314,4.01301477,375777186.50246894,388725832.1770539
14,2020-10-01,4.01405244,4.50650345,3.97404619,4.25986485,701098957.9030193,412637282.2459784
15,2020-10-02,4.26179978,4.29222077,3.66555445,3.78589829,646428103.6470554,366725902.60416013
16,2020-10-03,3.78360407,4.12461173,3.74928665,3.79161411,359042995.38409775,367279572.93126136
17,2020-10-04,3.7976472,3.81608753,3.61677665,3.6689251,413697305.8537077,355395144.4481529
18,2020-10-05,3.66892529,3.71620756,3.34125598,3.41920528,497456256.7887876,331205713.42270654
19,2020-10-06,3.4168835,3.4168835,2.72101245,2.83424131,681166626.0777277,274542426.7050082
20,2020-10-07,2.84232212,2.98866733,2.46286782,2.80006352,664950267.3356261,271231751.18131524
21,2020-10-08,2.79732568,3.41710007,2.58260796,3.27030556,717724262.1603651,316782350.84644824
22,2020-10-09,3.28565959,3.55527319,2.99539995,3.09736689,672751180.9683499,300030423.7594074
23,2020-10-10,3.08181189,3.63220356,3.05492812,3.33152713,562610976.5370011,322712656.47065043
24,2020-10-11,3.33123934,3.44217517,3.25074287,3.38724035,411091368.09448844,328109389.42903274
25,2020-10-12,3.37902053,3.42904253,3.20308461,3.26026136,558369285.3870684,315809405.88573736
26,2020-10-13,3.26167314,3.62266013,3.23538533,3.49726586,383311535.2451846,338767151.10857934
27,2020-10-14,3.50017875,3.58245159,2.6488059,3.08202347,516845492.97146094,298544164.02639323
28,2020-10-15,3.0773485,3.07741004,2.86653965,2.90694874,439092200.22333413,541141642.9031625
29,2020-10-16,2.90838269,3.16335461,2.80555941,3.03497654,578856190.3794163,566018740.9886383
30,2020-10-17,3.03737341,3.08567533,2.96052754,3.0006826,274343380.146428,560759317.8628457
31,2020-10-18,2.99508022,3.27679891,2.98276067,3.26685888,270238696.62769705,658804132.0498519
32,2020-10-19,3.27467548,3.28186631,3.12873845,3.17766422,353126948.0164669,642198931.2594732
33,2020-10-20,3.17358289,3.18129683,2.82147395,2.86980023,542347476.0741956,595506496.7879803
34,2020-10-21,2.86189747,3.06571378,2.85083113,2.94137384,641102099.6216476,610958556.284688
35,2020-10-22,2.94084829,3.13980626,2.93028557,3.03945049,490414766.6593528,631330250.4628034
36,2020-10-23,3.04407276,3.12028148,2.9744434,3.01219005,340365373.12678003,629314884.2756435
37,2020-10-24,3.01219006,3.08329223,2.93770967,2.943257,228726426.04521856,616104225.8426412
38,2020-10-25,2.943257,2.96679659,2.7299389,2.77574688,280177012.5004011,582448679.857583
39,2020-10-26,2.77574703,2.86815301,2.5507011,2.72590258,402513710.1500299,572875510.6687803
40,2020-10-27,2.72590256,2.90054865,2.71078781,2.82239855,374717068.8986912,595071764.8665643
41,2020-10-28,2.82239888,2.85034013,2.59936174,2.67611603,382606651.5706099,564790634.9580132
42,2020-10-29,2.67611619,2.73456913,2.49409014,2.54161629,452924613.8820874,537048830.213098
43,2020-10-30,2.54161714,2.55472877,2.26524486,2.41416755,407724693.280509,511147587.41367334
44,2020-10-31,2.41416755,2.41416755,2.25159656,2.26642787,195366722.87350938,480662058.457911
45,2020-11-01,2.26642788,2.43362193,2.22745794,2.37930546,189355187.03208768,507214061.62294203
46,2020-11-02,2.37930535,2.44083514,2.24325691,2.25425989,267321819.12665692,481565079.28856176
47,2020-11-03,2.25425961,2.28102325,2.06594231,2.13431874,249641515.28974253,456747205.28593296
48,2020-11-04,2.13432465,2.16038741,1.8889727,1.93011859,339588343.30015147,413703375.8057868
49,2020-11-05,1.93012344,2.40161741,1.76381655,2.20612935,513013237.58820254,473798080.6251046
50,2020-11-06,2.20611582,2.6778813,2.18203083,2.5507954,584436650.2169098,548667148.8368093
51,2020-11-07,2.5507954,2.99585781,2.44812623,2.46649654,771051234.7782099,533591764.2474856
52,2020-11-08,2.46649654,2.88537031,2.44255685,2.84861707,478996896.8201713,617187405.5768973
53,2020-11-09,2.84861689,2.85200563,2.58628614,2.67686302,486394677.98332816,580875958.2696799
54,2020-11-10,2.6768644,3.10329501,2.64013281,3.00754392,514331153.50193655,654437541.490111
55,2020-11-11,3.00754399,3.14989615,2.87706502,2.91237512,525551142.73753875,634810552.6298693
