,Date,Open,High,Low,Close,Volume,Market Cap
0,2018-08-03,0.0150405,0.0157304,0.014938,0.0153069,46250600.0,848840080.11
1,2018-08-04,0.0152183,0.015944,0.0123769,0.0133325,27059500.0,739350251.721
2,2018-08-05,0.0134275,0.0142955,0.0126962,0.014081,19746000.0,780858120.719
3,2018-08-06,0.0139632,0.0143075,0.0129299,0.0134243,18774100.0,744440996.376
4,2018-08-07,0.0133146,0.0144569,0.0121628,0.0128992,21022400.0,715321715.132
5,2018-08-08,0.0128577,0.0130208,0.0104018,0.0107756,22236100.0,597558040.311
6,2018-08-09,0.0107613,0.012022,0.0103163,0.0116829,32613700.0,647872121.195
7,2018-08-10,0.0116665,0.0121349,0.00945988,0.00974717,36278100.0,540526727.401
8,2018-08-11,0.00968157,0.00975345,0.00872369,0.00919247,12731100.0,509765986.007
9,2018-08-12,0.00919533,0.00975209,0.00902366,0.00907989,8428220.0,503522891.963
10,2018-08-13,0.00908955,0.00920105,0.00696004,0.00716829,16989000.0,397515620.919
11,2018-08-14,0.0072041,0.00773631,0.00611572,0.00773631,22264400.0,429015019.381
12,2018-08-15,0.00776756,0.00874744,0.00766285,0.00789099,22410600.0,437592757.759
13,2018-08-16,0.00789859,0.0116009,0.00774373,0.0112214,51160900.0,622279761.085
14,2018-08-17,0.011227,0.015232,0.0108684,0.0150313,94427600.0,833556755.199
15,2018-08-18,0.0149504,0.0149504,0.0111193,0.0127316,49994400.0,706027501.58
16,2018-08-19,0.0127109,0.0144222,0.0122634,0.0143741,36557300.0,797111903.489
17,2018-08-20,0.014275,0.0148767,0.0130321,0.0130568,38838000.0,724061381.337
18,2018-08-21,0.0129512,0.0158049,0.0129512,0.0153889,49710400.0,853387368.364
19,2018-08-22,0.015461,0.0162495,0.0124898,0.0137874,67288000.0,764576610.582
20,2018-08-23,0.0136859,0.0147838,0.0136295,0.0146739,31250400.0,813737232.982
21,2018-08-24,0.0147426,0.0147426,0.0139812,0.0145354,19980000.0,806056752.212
22,2018-08-25,0.0145523,0.0157349,0.0142444,0.0154128,24453700.0,854712736.525
23,2018-08-26,0.0153897,0.0154458,0.0145125,0.0152326,20503900.0,844719793.314
24,2018-08-27,0.0152219,0.0178555,0.0152095,0.0178235,53968100.0,988397465.708
25,2018-08-28,0.017839,0.0187558,0.0175489,0.0179795,45607800.0,997048404.337
26,2018-08-29,0.0179812,0.0181126,0.0166109,0.0169238,36464600.0,938504840.808
27,2018-08-30,0.016953,0.0173406,0.0156603,0.0173406,26699000.0,961618374.273
28,2018-08-31,0.0172293,0.0175582,0.0166263,0.0171433,29320200.0,950677155.097
29,2018-09-01,0.0171062,0.0185806,0.0169991,0.0181763,28300500.0,1007961896.15
30,2018-09-02,0.0181444,0.0183942,0.0173866,0.0178151,21871100.0,987931645.935
31,2018-09-03,0.0178527,0.019222,0.0174117,0.0187531,29578300.0,1039948187.18
32,2018-09-04,0.0187779,0.0197749,0.0185896,0.0194708,37147400.0,1079748050.34
33,2018-09-05,0.0194457,0.0197404,0.016192,0.016192,49983300.0,897923065.882
34,2018-09-06,0.0162622,0.0163288,0.0150568,0.0161423,36930400.0,895166965.562
35,2018-09-07,0.0161334,0.0167686,0.0152613,0.0156755,27829600.0,869280695.357
36,2018-09-08,0.0156308,0.0162187,0.0143649,0.0146441,19308600.0,812084681.885
37,2018-09-09,0.0146365,0.0153256,0.0141755,0.0144898,18117700.0,803528016.305
38,2018-09-10,0.0145649,0.0153705,0.0138304,0.0141239,22846400.0,783237128.842
39,2018-09-11,0.0142369,0.0142842,0.012823,0.013121,18847600.0,727621575.311
