,Date,Open,High,Low,Close,Volume,Market Cap
0,2019-01-30,3494.27750523,3502.76303515,3477.24808959,3496.45533464,1474.9688651311,0.0
1,2019-01-31,3496.83983195,3535.42122226,3435.29052954,3466.50653268,19289.0654563641,0.0
2,2019-02-01,3469.39297293,3517.77025279,3422.82556253,3480.77231412,13640.4731093726,0.0
3,2019-02-02,3476.33511885,3546.40422468,3459.11277164,3542.09536095,1894.9672357133,0.0
4,2019-02-03,3540.56278773,3544.667094,3436.17770522,3477.86602633,6524.9252859278,0.0
5,2019-02-04,3481.73424821,3500.41063002,3445.64324353,3481.21934559,3540.9391995468,0.0
6,2019-02-05,3478.45046484,3492.8525847,3443.32537018,3461.8729256,1522.3928013041,0.0
7,2019-02-06,3465.29870322,3465.46462396,3330.11634888,3444.96104912,2837.4452197143,0.0
8,2019-02-07,3442.6542211,3464.20816566,3389.16070815,3395.9786162,538.7526113677,0.0
9,2019-02-08,3400.35237427,3760.55405574,3394.4529186,3664.8411371,7174.0959398142,0.0
10,2019-02-09,3661.54648757,3703.64888915,3616.79853786,3677.96397919,598.5885129701,0.0
11,2019-02-10,3675.89358155,3858.13390036,3617.35601877,3686.28802728,2598.3423414182,0.0
12,2019-02-11,3693.37299039,3709.27368307,3582.39975074,3636.48735917,2702.8898532131,0.0
13,2019-02-12,3630.57461913,3721.28410002,3582.99934018,3664.99121582,1060.2545853053,0.0
14,2019-02-13,3664.45504798,3739.78127616,3599.57378719,3641.11856305,3996.1013762604,0.0
15,2019-02-14,3638.43086673,3689.82324643,3580.1040511,3611.82446599,888.2634918378,0.0
16,2019-02-15,3610.23609534,3670.5095153,3587.31251091,3629.19582092,72.6873890595,0.0
17,2019-02-16,3634.65427672,3670.45697113,3609.22990101,3644.54475489,948.0606917068,0.0
18,2019-02-17,3641.87754158,3787.96852419,3587.11736505,3705.2908502,1739.6598824721,0.0
19,2019-02-18,3693.86482765,3934.01004515,3687.71134595,3909.03267156,12638.2959404131,0.0
20,2019-02-19,3911.86519753,3988.45821215,3858.82847797,3869.74387065,852.565638808,0.0
21,2019-02-20,3866.15591467,4055.46445129,3833.44966881,4055.46445129,2775.9670751027,0.0
22,2019-02-21,4053.33585957,4053.33585957,3902.08234184,3978.72447272,1570.8928186314,0.0
23,2019-02-22,3980.40386798,4033.53280622,3926.61432717,4018.18880002,1724.875146732,0.0
24,2019-02-23,4010.53950856,4166.84249427,3986.69492791,4166.84249427,5539.7403354176,0.0
25,2019-02-24,4167.25183074,4329.91484478,3638.23137992,3659.92785254,7179.643237189,0.0
26,2019-02-25,3635.3535657,3943.29419305,3635.3535657,3865.78174586,9978.7689169437,0.0
27,2019-02-26,3863.3279575,3904.57309629,3813.60877027,3904.57309629,4910.80469641,0.0
28,2019-02-27,3903.92395063,3915.74881205,3727.82423393,3903.79497581,10916.7563981993,0.0
29,2019-02-28,3902.0845922,3948.52645247,3848.97066174,3854.58555645,1456.2528148179,0.0
30,2019-03-01,3854.46782043,3924.74049379,3824.54630916,3858.34984195,816.0670395112,0.0
31,2019-03-02,3854.44379028,3931.37568725,3780.34885159,3871.57692662,2371.9427107311,0.0
32,2019-03-03,3885.56464313,3918.59666645,3796.458268,3824.16926661,13356.2803245393,0.0
33,2019-03-04,3821.19011988,3893.58111538,3735.104401,3759.72220956,16895.1890845871,0.0
34,2019-03-05,3769.46001347,3952.50337074,3718.6537569,3923.0371054,14615.370447029,0.0
35,2019-03-06,3926.30949266,3979.94915469,3793.01832975,3923.13054144,5608.5666134121,0.0
36,2019-03-07,3927.66241451,3976.73681443,3882.1329039,3898.29963424,22194.8985991843,0.0
37,2019-03-08,3905.56342864,3971.5547863,3799.40710673,3901.64382424,4771.7034136513,0.0
38,2019-03-09,3894.20470456,3979.25578326,3890.40918423,3941.1867382,7745.0738469935,0.0
39,2019-03-10,3978.05303851,3999.01495046,3912.60496142,3979.81068069,232.912574703,0.0
40,2019-03-11,3981.74161747,3996.44896492,3872.8897966,3900.04842514,2516.7745029605,0.0
41,2019-03-12,3900.89846469,3939.3299488,3832.92221912,3909.91919298,5523.0642593751,0.0
42,2019-03-13,3921.076916,3929.62839587,3874.61294535,3901.74356101,4701.1802116681,0.0
43,2019-03-14,3899.20205884,3963.98446319,3892.42649195,3941.65341835,4926.2437963597,0.0
44,2019-03-15,3937.43003533,4014.02034202,3897.20451806,3967.20486186,7744.6783356023,0.0
45,2019-03-16,3973.11296181,4144.41278628,3973.11296181,4041.24493155,3435.4155820901,0.0
46,2019-03-17,4037.76873138,4073.62885297,3978.15278977,4031.44661696,20982.04835221,0.0
47,2019-03-18,4035.63997778,4094.05086307,4006.35921354,4075.62411073,2959.9433258218,0.0
48,2019-03-19,4074.38572392,4093.11753539,4023.29909577,4076.27262813,5386.0550817091,0.0
