,Date,Open,High,Low,Close,Volume,Market Cap
0,2014-05-21,2.4737200737,2.6478800774,1.2310600281,1.6024700403,246540.0,1382563.24221
1,2014-05-22,1.589400053,2.1888799667,1.3590899706,2.095580101,132918.0,1855607.93064
2,2014-05-23,2.0510399342,3.4343700409,2.0510399342,2.9630200863,266852.0,2692180.34199
3,2014-05-24,2.9203898907,4.0142397881,2.6177799702,3.702450037,248028.0,3456657.53448
4,2014-05-25,4.0430297852,4.0430297852,2.8032999039,3.1385600567,283545.0,2993339.41728
5,2014-05-26,3.2189700603,3.7623500824,2.3120200634,3.0218598843,220148.0,2946133.3216
6,2014-05-27,3.0337998867,3.0337998867,2.0652499199,2.2082300186,97602.6015625,2199815.53958
7,2014-05-28,2.2401199341,2.8468999863,1.906159997,2.2688601017,177716.0,2315317.60277
8,2014-05-29,2.2054400444,2.4940900803,1.6765300035,1.6765300035,109157.0,1742651.60972
9,2014-05-30,1.6765099764,1.8666399717,1.0829000473,1.5676399469,119296.0,1667566.07652
10,2014-05-31,1.5750399828,2.2846400738,1.4076999426,1.9385399818,117399.0,2113584.5887
11,2014-06-01,1.9367699623,2.5656599998,1.5351400375,1.7374500036,130602.0,1934458.58677
12,2014-06-02,1.7646399736,1.9416400194,1.5993599892,1.7292900085,47671.69921875,1964406.64617
13,2014-06-03,1.7308199406,2.0957300663,1.6537599564,1.9307999611,91331.6015625,2238383.43915
14,2014-06-04,1.9308199883,1.988139987,1.7117899656,1.8052500486,51886.3984375,2136582.87713
15,2014-06-06,1.4620900154,1.5074499846,1.1734499931,1.2407200336,100635.0,1524539.04252
16,2014-06-07,1.2397700548,1.6893800497,1.2131500244,1.3607599735,44187.0,1702749.94529
17,2014-06-08,1.3607900143,1.4384399652,1.2415399551,1.3354500532,40633.6015625,1701813.01279
18,2014-06-09,1.3320800066,1.6407999992,1.2693400383,1.524099946,56500.19921875,1976718.64494
19,2014-06-10,1.4785300493,2.3926200867,1.3079600334,1.7253700495,182599.0,2281223.82605
20,2014-06-11,1.7242200375,2.1718800068,1.5328400135,1.6214300394,85735.296875,2177570.76142
21,2014-06-12,1.6192799807,2.1718199253,1.526309967,1.7351499796,108619.0,2371183.54749
22,2014-06-13,1.6519299746,1.9574700594,1.6246900558,1.9244999886,84237.0,2674776.90975
23,2014-06-14,1.9264600277,2.8187201023,1.8760099411,2.3420898914,276919.0,3312123.07642
24,2014-06-15,2.3249700069,2.7465701103,2.2517499924,2.6920399666,150652.0,3863688.49308
25,2014-06-16,2.7212500572,3.5503399372,2.6193299294,3.1848700047,438776.0,4648756.48084
26,2014-06-17,3.1524200439,3.30843997,2.722219944,2.8200600147,228445.0,4180469.28176
27,2014-06-18,2.9038000107,2.9846599102,2.4580900669,2.7902801037,183102.0,4201539.79635
28,2014-06-19,2.781719923,3.5246999264,2.6810100079,3.132119894,283962.0,4792101.31638
29,2014-06-20,3.1659901142,4.5859398842,3.1229000092,4.561150074,543764.0,7084429.49294
30,2014-06-21,4.3331999779,5.8546500206,4.1378102303,5.0106801987,723077.0,7903316.12626
31,2014-06-22,4.9796199799,5.2118902206,4.0185198784,4.3467497826,491984.0,6961750.45325
32,2014-06-23,4.2775402069,4.8201599121,3.7654900551,3.9819500446,433301.0,6465327.46182
33,2014-06-24,3.9259500504,4.0678200722,2.9551699162,3.2787299156,150995.0,5397286.71744
34,2014-06-25,3.2279000282,3.387720108,2.6332600117,3.387720108,217183.0,5647798.86268
35,2014-06-26,3.2787899971,3.3761200905,2.8048000336,2.893889904,117740.0,4896390.61796
36,2014-06-27,2.9811799526,3.004349947,2.072329998,2.2000300884,250643.0,3771736.10706
37,2014-06-28,2.3222699165,2.8991799355,2.2478699684,2.5538799763,184970.0,4437897.06857
38,2014-06-29,2.5519099236,2.7553799152,2.2642900944,2.5442500114,138511.0,4480587.40003
39,2014-06-30,2.5462698936,2.7016699314,2.4387500286,2.5046200752,124575.0,4468631.54841
40,2014-07-01,2.5053598881,2.647550106,2.337980032,2.3455200195,98540.203125,4239457.0344
41,2014-07-02,2.3377699852,2.5441000462,2.2567899227,2.3122200966,101095.0,4230609.39433
42,2014-07-03,2.3050599098,2.8241500854,2.2344601154,2.6435499191,168532.0,4897314.50049
43,2014-07-04,2.6445300579,2.9979701042,2.5411500931,2.6443500519,148555.0,4959603.70108
44,2014-07-05,2.6424899101,2.6426200867,2.435270071,2.4694499969,68524.5,4689117.29327
45,2014-07-06,2.4701399803,2.4826500416,2.2879600525,2.3975200653,77662.8984375,4605920.02612
46,2014-07-07,2.3994801044,2.4002799988,1.9483300447,1.9901800156,111370.0,3865612.44051
47,2014-07-08,1.9802399874,2.3616199493,1.9691599607,2.3501899242,94992.6015625,4618190.33042
48,2014-07-09,2.298500061,2.3104000092,1.9855300188,2.0088999271,69553.8984375,3993540.02138
49,2014-07-10,2.0287098885,2.0911500454,1.8633600473,1.8922899961,89099.203125,3804552.41134
