,Date,Open,High,Low,Close,Volume,Market Cap
0,2018-07-01,4.4170398712,4.4604301453,3.8208899498,3.9481699467,1125120.0,0.0
1,2018-07-02,3.9508299828,4.1760101318,2.5962901115,2.9108600616,3077500.0,0.0
2,2018-07-03,3.1377699375,3.2567300797,1.931120038,2.0047800541,15960800.0,0.0
3,2018-07-04,2.0142400265,2.1105999947,1.8721899986,1.8742500544,6719230.0,1138586334.89
4,2018-07-05,1.8796000481,1.9654500484,1.3984099627,1.4217699766,10239900.0,863709693.666
5,2018-07-06,1.4254300594,1.8277900219,1.1008399725,1.7910699844,13123900.0,1088055396.47
6,2018-07-07,1.7665499449,1.888100028,1.6630100012,1.8546199799,5580940.0,1126661325.02
7,2018-07-08,1.859079957,2.5248498917,1.8474700451,2.3240399361,12105000.0,1411828830.59
8,2018-07-09,2.3201100826,2.3396000862,2.0498399734,2.2593901157,6912650.0,1372554664.1
9,2018-07-10,2.2566399574,2.3847498894,2.1437399387,2.2280700207,7598320.0,1353528107.34
10,2018-07-11,2.2344999313,2.3220798969,2.0458800793,2.1022500992,6863960.0,1277093836.21
11,2018-07-12,2.0968699455,2.2402000427,1.8649400473,1.8956999779,5112460.0,1151616974.82
12,2018-07-13,1.9014400244,2.0705399513,1.8969999552,1.9664900303,4691140.0,1194621124.02
13,2018-07-14,1.9794399738,2.0003399849,1.9222500324,1.9693599939,3356770.0,1196364617.57
14,2018-07-15,1.9794700146,2.2328400612,1.9358799458,2.1815800667,4023690.0,1325285941.82
15,2018-07-16,2.1862699986,2.3256900311,2.1633601189,2.2820301056,4517860.0,1386308215.98
16,2018-07-17,2.2996199131,2.4396400452,2.2374100685,2.4379899502,4803450.0,1481052206.8
17,2018-07-18,2.4310500622,2.5082900524,2.2706799507,2.3316700459,4170670.0,1416463971.97
18,2018-07-19,2.3284900188,2.3514499664,2.2441198826,2.2699100971,3961730.0,1378945448.81
19,2018-07-20,2.27064991,2.2742400169,2.0207901001,2.0491800308,3504910.0,1244854392.81
20,2018-07-21,2.0523700714,2.2004499435,2.0041999817,2.1984400749,2385670.0,1335528207.05
21,2018-07-22,2.2019999027,2.2600998878,2.1419100761,2.1628100872,1933710.0,1313883372.53
22,2018-07-23,2.1557300091,2.2698099613,2.1276099682,2.2432000637,2745610.0,1362719416.52
23,2018-07-24,2.2448000908,2.2863299847,2.1140100956,2.1528599262,4028080.0,1307838856.57
24,2018-07-25,2.130769968,2.1700899601,1.9903600216,2.1186599731,4433050.0,1287062731.37
25,2018-07-26,2.1043200493,2.2091300488,2.0213799477,2.043129921,2731230.0,1241179084.11
26,2018-07-27,2.0439798832,2.1262600422,2.0305199623,2.0937299728,1735890.0,1271918029.58
27,2018-07-28,2.0950500965,2.1204900742,2.0325300694,2.063149929,1944170.0,1253341014.71
28,2018-07-29,2.0662200451,2.108700037,2.0344901085,2.0674800873,1944750.0,1255971442.26
29,2018-07-30,2.06786,2.09047,1.97279,2.08305,3403140.0,1265430046.63
30,2018-07-31,2.07872,2.07872,1.79356,1.88776,3524540.0,1146793511.83
31,2018-08-01,1.89462,1.97175,1.7193,1.81516,2961420.0,1102689807.46
32,2018-08-02,1.81685,1.9819,1.64009,1.65827,3319250.0,1007380851.84
33,2018-08-03,1.65105,1.92601,1.54978,1.82685,3992930.0,1109791354.35
34,2018-08-04,1.8338,1.91443,1.74995,1.86619,2769130.0,1133689973.22
35,2018-08-05,1.85894,1.92851,1.83917,1.85041,2206540.0,1124103796.15
36,2018-08-06,1.85284,1.91107,1.74955,1.78344,2449620.0,1083420255.08
37,2018-08-07,1.78239,1.90152,1.68942,1.69159,2991980.0,1027622386.68
38,2018-08-08,1.69244,1.71217,1.50636,1.53788,2891530.0,934245246.204
39,2018-08-09,1.54839,1.6741,1.5459,1.66916,1839340.0,1013996407.49
40,2018-08-10,1.66731,1.66731,1.46509,1.53036,2720600.0,929676928.616
41,2018-08-11,1.53035,1.57187,1.4004,1.52326,2517240.0,925363756.426
42,2018-08-12,1.51908,1.59426,1.45345,1.45345,2727130.0,882954946.482
43,2018-08-13,1.45543,1.46541,1.21629,1.30044,3065130.0,790003048.335
44,2018-08-14,1.29443,1.29672,1.17907,1.24835,3409060.0,758358944.195
45,2018-08-15,1.26122,1.39277,1.26122,1.28746,2734990.0,782117840.584
46,2018-08-16,1.29265,1.33292,1.24773,1.29517,2142820.0,786801581.09
47,2018-08-17,1.29564,1.37555,1.29564,1.37555,2135200.0,835631550.196
48,2018-08-18,1.37112,1.41442,1.30432,1.33403,2132750.0,810408605.218
49,2018-08-19,1.33357,1.40142,1.32341,1.37126,1689570.0,833025422.211
50,2018-08-20,1.36218,1.68696,1.35829,1.42925,6067680.0,868253711.692
51,2018-08-21,1.42864,1.44111,1.27589,1.35954,4813760.0,825905650.652
52,2018-08-22,1.35926,1.42335,1.26194,1.28586,2324990.0,781145858.119
53,2018-08-23,1.28597,1.32419,1.26105,1.32419,1976690.0,804430913.056
54,2018-08-24,1.32181,1.34472,1.29464,1.33376,2008470.0,810244583.177
55,2018-08-25,1.33249,1.36317,1.30731,1.36167,1258870.0,827199602.309
56,2018-08-26,1.36297,1.36545,1.29629,1.32909,1624750.0,807407609.356
57,2018-08-27,1.32947,1.35152,1.30866,1.35137,1737520.0,820942465.188
58,2018-08-28,1.35273,1.39565,1.32986,1.38041,2058670.0,838583946.935
59,2018-08-29,1.3801,1.39535,1.35881,1.37315,1768070.0,834173576.498
60,2018-08-30,1.37365,1.38343,1.33061,1.35533,1868490.0,823348121.789
61,2018-08-31,1.35578,1.37108,1.31871,1.36048,1726140.0,826476690.35
62,2018-09-01,1.36035,1.41876,1.33318,1.40696,1904880.0,854712780.971
63,2018-09-02,1.4076,1.43274,1.38092,1.39491,1620730.0,847392538.028
64,2018-09-03,1.39977,1.41974,1.37928,1.41513,2418800.0,859675966.435
65,2018-09-04,1.41663,1.44935,1.41041,1.43911,2008920.0,874243553.635
66,2018-09-05,1.43934,1.46027,1.30138,1.30138,3304880.0,790574088.033
67,2018-09-06,1.2987,1.2987,1.20879,1.23794,2263090.0,752034983.279
68,2018-09-07,1.23401,1.26562,1.21675,1.2268,1926860.0,745267555.364
69,2018-09-08,1.21837,1.25192,1.14836,1.15177,2234460.0,699687652.626
70,2018-09-09,1.15077,1.24804,1.14179,1.19906,1977490.0,728415809.37
71,2018-09-10,1.19897,1.52555,1.18529,1.40723,3231710.0,854876803.012
72,2018-09-11,1.42123,1.42123,1.25766,1.30573,3084310.0,793216665.361
73,2018-09-12,1.30233,1.31878,1.18922,1.26126,2205410.0,766201627.713
74,2018-09-13,1.26085,1.35106,1.26026,1.34744,1907530.0,818555033.257
75,2018-09-14,1.34219,1.67495,1.28727,1.56908,5128230.0,953198904.28
76,2018-09-15,1.56364,1.75107,1.52608,1.62567,4984260.0,987576709.104
77,2018-09-16,1.62294,1.67158,1.54126,1.66088,2633080.0,1008966398.23
78,2018-09-17,1.66339,1.69578,1.39642,1.50211,7424940.0,912515363.211
79,2018-09-18,1.50052,1.55103,1.41784,1.50664,3049400.0,915267288.567
80,2018-09-19,1.5081,1.57736,1.46766,1.55416,3600640.0,944135167.79
81,2018-09-20,1.55884,1.70728,1.50098,1.70728,4128740.0,1037153889.73
82,2018-09-21,1.70722,1.79448,1.63427,1.65765,5152330.0,1007004208.63
83,2018-09-22,1.66506,1.68609,1.61189,1.66176,2203730.0,1009500988.59
84,2018-09-23,1.66511,1.70959,1.63094,1.66075,1986980.0,1008887424.66
85,2018-09-24,1.66168,1.66552,1.5297,1.5647,2342190.0,950538102.281
86,2018-09-25,1.56839,1.56839,1.45068,1.47437,1799400.0,895663617.217
87,2018-09-26,1.47647,1.5237,1.44798,1.44806,1523520.0,879680580.551
88,2018-09-27,1.4495,1.47678,1.39091,1.43975,2512880.0,874632346.621
89,2018-09-28,1.44464,1.48667,1.41471,1.42276,2089150.0,864311107.817
90,2018-09-29,1.42142,1.46088,1.38844,1.4393,1367510.0,874358976.553
91,2018-09-30,1.4405,1.48394,1.41039,1.42474,2073140.0,865513936.118
92,2018-10-01,1.42552,1.44644,1.33575,1.34959,2089710.0,819861134.695
93,2018-10-02,1.34675,1.36292,1.32754,1.33189,1976820.0,809108578.671
94,2018-10-03,1.33331,1.34833,1.29253,1.3078,2053580.0,794474167.676
95,2018-10-04,1.31711,1.35626,1.29892,1.30214,2028680.0,791035779.705
96,2018-10-05,1.30344,1.32968,1.30206,1.32074,1098350.0,802335075.865
97,2018-10-06,1.32558,1.37414,1.31993,1.33532,1461850.0,811192266.081
98,2018-10-07,1.33776,1.34172,1.30238,1.31746,781157.0,800342511.811
99,2018-10-08,1.31723,1.3752,1.30958,1.35864,1774140.0,825358910.515
100,2018-10-09,1.36081,1.41952,1.34818,1.39898,1850760.0,849865018.424
101,2018-10-10,1.40256,1.43034,1.33162,1.36734,1812420.0,830644065.171
102,2018-10-11,1.36672,1.36672,1.23403,1.23915,2117670.0,752770045.019
103,2018-10-12,1.22709,1.24756,1.20574,1.24663,1716960.0,757314063.045
104,2018-10-13,1.24581,1.25902,1.22795,1.24443,1020920.0,755977587.155
105,2018-10-14,1.24253,1.24701,1.20456,1.21986,1394990.0,741051581.42
106,2018-10-15,1.21932,1.37379,1.20851,1.37379,4359540.0,834562369.484
107,2018-10-16,1.37125,1.47668,1.33249,1.46676,6030970.0,891040625.616
108,2018-10-17,1.47111,1.47239,1.37101,1.40048,3428510.0,850776251.986
109,2018-10-18,1.40465,1.40531,1.31935,1.3226,2663220.0,803465005.481
110,2018-10-19,1.32291,1.33283,1.28728,1.31163,2351860.0,796800850.703
111,2018-10-20,1.31075,1.31957,1.29597,1.31322,1309920.0,797766758.278
112,2018-10-21,1.31378,1.35147,1.30711,1.34236,1277190.0,815468988.929
113,2018-10-22,1.34174,1.41657,1.32866,1.41259,2532760.0,858132944.271
114,2018-10-23,1.41455,1.42385,1.36904,1.3818,2513170.0,839428356.702
115,2018-10-24,1.37959,1.38249,1.33755,1.33755,1871920.0,812546966.642
116,2018-10-25,1.35504,1.35871,1.32475,1.34674,1622770.0,818129790.928
117,2018-10-26,1.3455,1.36627,1.33709,1.36512,2047160.0,829295439.5
118,2018-10-27,1.36267,1.36668,1.34497,1.34857,1038920.0,819241495.873
119,2018-10-28,1.3533,1.35987,1.34004,1.35442,820245.0,822795306.762
120,2018-10-29,1.35146,1.35742,1.27577,1.27993,2355900.0,777543448.106
121,2018-10-30,1.28124,1.30919,1.27738,1.2817,1804820.0,778618703.709
122,2018-10-31,1.28322,1.28589,1.262,1.28315,2135600.0,779499562.818
123,2018-11-01,1.28293,1.32256,1.28293,1.30577,2314640.0,793240964.923
124,2018-11-02,1.30571,1.33555,1.30014,1.30819,2312990.0,794711088.402
125,2018-11-03,1.3081,1.3164,1.29628,1.31474,1447520.0,798690141.62
126,2018-11-04,1.31546,1.33492,1.31124,1.32674,1626250.0,805980010.11
127,2018-11-05,1.32422,1.35154,1.3066,1.30806,3656250.0,794632114.827
128,2018-11-06,1.31238,1.34215,1.30909,1.33399,2884510.0,809187552.246
