,Date,Open,High,Low,Close,Volume,Market Cap
0,2020-07-20,1049.66974794,1261.22298593,1002.8271065,1118.17468153,0.0,0.0
1,2020-07-21,1118.17468153,1125.32769397,739.439122489,906.710747286,0.0,4418695.7072591
2,2020-07-22,902.413148541,1494.58421275,878.788464276,1200.83976969,108921.757257331,19258444.2798955
3,2020-07-23,1200.83976969,2238.94519154,1123.70623549,1894.56295119,222878.718524445,36912677.5199252
4,2020-07-24,1894.56295119,3254.46235156,1700.20076337,3239.78348186,525221.294878736,76944496.2018999
5,2020-07-25,3240.6126161,4664.10526221,2905.75383627,3453.79535648,2253002.16135761,94683654.9281274
6,2020-07-26,3451.02384638,3454.82814568,2234.2687442,3099.85874658,1230522.13633573,90968538.7455304
7,2020-07-27,3109.47183548,3288.03212627,2249.74602555,2876.58779677,3992771.74964107,85521086.3390551
8,2020-07-28,2875.04626802,3504.95830674,2633.55984171,3486.83126029,7643382.32089253,104106877.729751
9,2020-07-29,3487.04204176,5167.02642597,3406.21595869,4497.65784095,17940910.4119102,134436427.444035
10,2020-07-30,4497.72326722,4686.43974242,3923.55518891,4353.30160185,4471048.19932827,130211039.42237
11,2020-07-31,4353.30160185,4725.40563634,3399.34710361,4329.52566741,12040219.0708964,129550480.805142
12,2020-08-01,4325.83046371,4614.66394172,3808.30467132,3808.30467132,6806217.80157916,113979161.531419
13,2020-08-02,3809.77246455,4089.952705,3451.92749043,3971.37498537,5857149.04200083,118878333.417778
14,2020-08-03,4024.88393901,4300.50411663,3538.33344719,3754.20226778,5617710.42521807,112407679.09098
15,2020-08-04,3756.0050749,3951.46769946,3540.74838393,3660.01560567,4801762.68601402,109601128.523472
16,2020-08-05,3657.99214906,4193.39238116,3606.63544236,4114.20095299,7763147.23825753,123205096.387206
17,2020-08-06,4114.20095299,5027.60790325,3997.8845345,4853.47848595,10300216.7625153,145357731.501803
18,2020-08-07,4854.18579747,5455.30150615,3422.65742977,4298.93733752,12648202.8100913,128750977.186551
19,2020-08-08,4275.79981628,4789.39897763,4000.71976542,4432.39111549,10834109.3558495,132748352.155267
20,2020-08-09,4436.38405783,4574.88134335,3931.6156944,4087.22794087,5995518.348588,122411398.075993
21,2020-08-10,4087.22794087,7149.48402422,4023.68559266,6263.3217776,59230911.2828528,187588102.797666
22,2020-08-11,6261.92303068,6593.31427128,5772.9295521,6053.37809131,35068291.4683954,181319070.952996
23,2020-08-12,6052.90085535,6052.90085535,5353.39197579,5828.81096863,27696536.1387134,174596744.686845
24,2020-08-13,5826.75293838,5828.68817151,4381.67273695,5428.55628488,35907913.5587955,162611151.910992
25,2020-08-14,5432.01448352,5432.01448352,4842.56609065,5003.63784036,19026817.391818,149886987.869989
26,2020-08-15,5003.35322037,5396.30584642,4198.80084804,5388.20485688,31291457.3604895,161423548.210969
27,2020-08-16,5394.59003336,6647.3433337,5257.56202057,6647.3433337,40286859.8217198,199146390.096878
28,2020-08-17,6647.3433337,9018.48685879,6416.78001195,8890.75093659,76590499.7598394,266369872.27115
29,2020-08-18,8882.58277276,11759.843638,8716.03121107,9717.91093587,96669855.8618025,291154661.184158
30,2020-08-19,9710.94045738,12634.5601076,9678.88421999,12600.8411387,100143012.110546,377536316.585159
31,2020-08-20,12600.8411387,16398.5276648,11593.5093698,15317.1202719,185263980.828125,458931557.999728
32,2020-08-21,15308.2434519,15366.8025241,11968.6027851,12390.6371381,97045072.5449257,371249424.005942
33,2020-08-22,12396.7218815,14329.8398732,11356.1346925,14074.4983039,67543783.7713848,421705542.328856
34,2020-08-23,14058.3820758,14093.8311758,12137.7089664,12535.7570037,43595458.658098,375602299.747859
35,2020-08-24,12549.15037,14517.7406018,12283.2030898,14467.9036883,52689371.5751942,433494246.05806
36,2020-08-25,14480.7400952,14688.397833,12944.7591603,13555.5178179,58465027.7547205,406156904.482934
37,2020-08-26,13554.2284734,16161.8765541,13319.7916089,15594.2818989,86353874.8606545,467244695.690608
38,2020-08-27,15630.3877652,15806.831172,14090.7899185,14220.6654317,67426134.3860555,426088289.480299
39,2020-08-28,14222.5687656,19371.8671602,14179.5499231,18786.712646,188259686.86361,562901770.207173
40,2020-08-29,18854.5338999,27490.0408096,17977.0802616,27293.4090284,509583889.777411,817786878.782605
41,2020-08-30,27430.3634596,38683.5075413,27224.4702774,31807.6483462,938499195.75558,953046731.517038
42,2020-08-31,31836.3691325,39306.1030058,29982.795039,35102.0829448,684094658.82724,1051757572.81441
43,2020-09-01,35098.3982989,36586.3437061,31576.8875253,32139.2988416,535757876.995509,963035497.668538
44,2020-09-02,32129.5582778,32648.5238358,26196.8262549,31901.6303569,468719309.063407,955915461.887444
45,2020-09-03,31960.6827575,33010.0280764,28113.1183201,29858.0011746,416033859.562455,894696382.326122
46,2020-09-04,29776.8066304,31499.8416931,24457.529327,27606.2498442,319283396.870813,827267711.800297
47,2020-09-05,27511.7330515,28673.6585292,18755.9159941,22281.9878631,432785297.188274,667720501.587159
48,2020-09-06,22226.5699504,25101.127066,19798.1678452,23917.514849,294856674.688212,716734348.04161
49,2020-09-07,24007.7144576,24533.3034461,20766.1327282,22960.9485034,175222400.661377,688075010.315401
50,2020-09-08,22948.3102247,23428.9661295,21237.1526655,22440.4970263,149939446.254852,672479393.981079
51,2020-09-09,22433.9053596,29036.9587626,21676.6215505,27875.4316096,307226839.075106,835353852.511562
