,Date,Open,High,Low,Close,Volume,Market Cap
0,2016-10-29,4293.3701171875,5941.7998046875,2006.4699707031,2044.4699707031,2532790.0,973672.448531
1,2016-10-30,2014.3800048828,2028.4599609375,504.5350036621,574.8209838867,1009210.0,597302.24931
2,2016-10-31,570.9119873047,2217.6398925781,472.7250061035,1624.5799560547,4333820.0,2940104.97761
3,2016-11-01,1599.7199707031,2027.0500488281,1189.3299560547,1333.7399902344,4802060.0,3722439.99803
4,2016-11-02,1326.2900390625,1409.0699462891,872.4149780273,942.783996582,3936160.0,3737043.16284
5,2016-11-03,940.6610107422,1067.5899658203,863.8060302734,887.2579956055,2783300.0,4732770.58792
6,2016-11-04,887.6640014648,889.8010253906,601.8439941406,603.9819946289,2469390.0,4198688.83478
7,2016-11-05,599.5189819336,634.0029907227,501.6900024414,504.5719909668,1984150.0,4425018.5467
8,2016-11-06,504.2699890137,507.5029907227,320.5379943848,321.7900085449,2390590.0,3464374.04491
9,2016-11-07,319.233001709,345.9389953613,236.0050048828,236.0050048828,1808930.0,3063969.57573
10,2016-11-08,233.779006958,308.6409912109,178.9770050049,308.6409912109,2578200.0,4744311.97552
11,2016-11-09,331.6900024414,374.1239929199,222.5110015869,255.5839996338,3706020.0,4592070.22022
12,2016-11-10,254.93699646,257.4909973145,224.8329925537,226.1679992676,1255400.0,4698609.24326
13,2016-11-11,224.6719970703,226.1660003662,183.2409973145,183.3560028076,1173130.0,4380420.22061
14,2016-11-12,183.0200042725,189.5379943848,144.108001709,144.108001709,1167540.0,3901253.76752
15,2016-11-13,143.1739959717,146.2279968262,117.2559967041,117.2559967041,1401920.0,3585167.13051
16,2016-11-14,117.5540008545,117.8229980469,97.182800293,105.0650024414,1418260.0,3597443.85504
17,2016-11-15,105.1549987793,131.2250061035,97.4336013794,109.3430023193,2030660.0,4167297.22749
18,2016-11-16,109.7099990845,115.6179962158,96.9151992798,96.9549026489,1443840.0,4085744.80936
19,2016-11-17,97.4776992798,100.422996521,85.3899002075,87.644203186,915597.0,4079558.69189
20,2016-11-18,87.3293991089,88.841003418,70.46900177,70.6384963989,1032890.0,3597784.84962
21,2016-11-19,71.1164016724,72.0040969849,64.6268997192,65.7007980347,822655.0,3655612.87925
22,2016-11-20,65.287902832,67.6292037964,60.2742004395,60.2742004395,598211.0,3646315.64349
23,2016-11-21,59.9616012573,60.2299995422,53.9402999878,54.0191993713,711312.0,3546538.23693
24,2016-11-22,54.0134010315,72.0202026367,53.3895988464,57.9002990723,1326320.0,4103476.40705
25,2016-11-23,57.5357017517,87.6756973267,57.3993988037,77.5562973022,2391080.0,5931096.0359
26,2016-11-24,78.4335021973,102.4179992676,69.0823974609,97.1881027222,4090150.0,7998708.55384
27,2016-11-25,96.6393966675,106.8850021362,88.1713027954,91.3319015503,3525760.0,8050200.01901
28,2016-11-26,91.1333999634,92.3576965332,76.0162963867,77.3011016846,1902290.0,7283837.70514
29,2016-11-27,77.3293991089,80.4213027954,66.6556015015,69.8302993774,1465100.0,7018955.28893
30,2016-11-28,69.2647018433,75.5244979858,66.2089004517,70.9597015381,1262350.0,7603726.70138
31,2016-11-29,71.8445968628,77.6632003784,67.9573974609,68.7164993286,1275680.0,7828564.67004
32,2016-11-30,68.7596969604,72.9448013306,66.7146987915,68.6850967407,1389900.0,8288191.30843
33,2016-12-01,68.4555969238,68.4555969238,62.4934997559,63.0284004211,1247650.0,8068816.9825
34,2016-12-02,63.626701355,64.5040969849,60.3238983154,60.3238983154,1201460.0,8150889.96313
35,2016-12-03,59.8462982178,60.8461990356,58.6599998474,59.5303001404,837752.0,8468557.23937
36,2016-12-04,59.462600708,62.1108016968,58.3549995422,58.3918991089,825231.0,8728494.20187
37,2016-12-05,58.3894996643,58.5853004456,50.8121986389,50.9315986633,1036500.0,7971750.3675
